D_median,G_median,U_l2_mean_all,U_l2_median,U_l2_non_occluded,U_l2_occluded,U_mse_global,action_maxabs_pred_vs_real,chunk_motion_mm,condition,eef_nuisance_mm,eef_treatment_mm,episode,episode_idx,episode_success,family,n_occluded_tokens,obj_nuisance_mm,obj_treatment_mm,phase,severity,state_id,state_key,step,suite,task_id,treatment_over_nuisance,wall_sec
7.096376419067383,3.050424575805664,8.27647699881345,7.4348907470703125,7.795017359060642,12.725164070129395,0.10198389905739795,0.02149832248687744,28.006397725261508,A_occlusion_medium,0.3365080994259568,1.0120385874439932,A_occlusion_medium_libero_goal_t5_ep5,5,False,A_occlusion,25,0.0,0.0,pre_grasp,medium,A_occlusion_medium_libero_goal_t05_ep005_s0040_pre_grasp,A_occlusion_medium/A_occlusion_medium_libero_goal_t05_ep005_s0040_pre_grasp,40,libero_goal,5,3.0074717047536508,0.52
6.46384334564209,1.6986496448516846,6.940190693363547,6.466203212738037,6.940663715461632,6.935819969177246,0.07005099499807808,0.021332204341888428,5.755963661182213,A_occlusion_medium,1.3922527864876477,0.5106083775318263,A_occlusion_medium_libero_goal_t5_ep6,6,False,A_occlusion,25,0.0,0.0,approach,medium,A_occlusion_medium_libero_goal_t05_ep006_s0128_approach,A_occlusion_medium/A_occlusion_medium_libero_goal_t05_ep006_s0128_approach,128,libero_goal,5,0.366749761600392,0.45
9.15731430053711,4.091025352478027,9.42645838111639,8.770162582397461,9.252208532193006,11.036526985168457,0.12735237376103503,0.03247523307800293,69.25931965445128,A_occlusion_medium,0.684713770430807,1.6801839945286012,A_occlusion_medium_libero_goal_t5_ep7,7,True,A_occlusion,25,0.0,0.0,approach,medium,A_occlusion_medium_libero_goal_t05_ep007_s0024_approach,A_occlusion_medium/A_occlusion_medium_libero_goal_t05_ep007_s0024_approach,24,libero_goal,5,2.453848698663481,0.38
7.615762233734131,3.0773677825927734,7.849756069481373,7.2741193771362305,7.67911080364541,9.426518325805665,0.08940735941230597,0.03330305218696594,28.934296685139266,A_occlusion_medium,1.0101151921895073,0.47361624926790497,A_occlusion_medium_libero_goal_t5_ep8,8,True,A_occlusion,25,0.9608807020023621,0.48836326731106955,approach,medium,A_occlusion_medium_libero_goal_t05_ep008_s0136_approach,A_occlusion_medium/A_occlusion_medium_libero_goal_t05_ep008_s0136_approach,136,libero_goal,5,0.4688735036657582,0.47
8.020611763000488,5.177350044250488,9.07508565671742,8.045401573181152,9.119883921239284,8.6611496925354,0.12184918616076508,0.030822694301605225,59.75076079482423,A_occlusion_medium,1.7136282860341783,1.9049584493948037,A_occlusion_medium_libero_goal_t5_ep9,9,True,A_occlusion,25,0.0,0.0,approach,medium,A_occlusion_medium_libero_goal_t05_ep009_s0024_approach,A_occlusion_medium/A_occlusion_medium_libero_goal_t05_ep009_s0024_approach,24,libero_goal,5,1.1116520805124066,0.39
7.166927337646484,3.849565029144287,9.756874057464302,8.990216255187988,9.756874057464302,nan,0.14793986260005507,0.07609423249959946,28.9150962236679,B_camera_shift_strong,1.2489396839456959,1.6711151824706298,B_camera_shift_strong_libero_goal_t5_ep0,0,False,B_camera_shift,0,1.154002718505169,1.4912359903271348,approach,strong,B_camera_shift_strong_libero_goal_t05_ep000_s0136_approach,B_camera_shift_strong/B_camera_shift_strong_libero_goal_t05_ep000_s0136_approach,136,libero_goal,5,1.3380271312952294,0.46
10.12712287902832,1.4352664947509766,10.934037659317255,10.336274147033691,10.934037659317255,nan,0.1722524426606101,0.021855346858501434,0.7114319327674469,B_camera_shift_strong,0.3452410445322054,0.5709593840010465,B_camera_shift_strong_libero_goal_t5_ep1,1,False,B_camera_shift,0,0.0,0.0,approach,strong,B_camera_shift_strong_libero_goal_t05_ep001_s0112_approach,B_camera_shift_strong/B_camera_shift_strong_libero_goal_t05_ep001_s0112_approach,112,libero_goal,5,1.6537992600928575,0.42
9.865554809570312,2.8954532146453857,10.829794102348387,9.663236618041992,10.829794102348387,nan,0.18176569128159717,0.10509027540683746,18.888631700903094,B_camera_shift_strong,1.471154049386384,1.4881549828104186,B_camera_shift_strong_libero_goal_t5_ep2,2,False,B_camera_shift,0,1.220031076941445,1.500884713415444,approach,strong,B_camera_shift_strong_libero_goal_t05_ep002_s0176_approach,B_camera_shift_strong/B_camera_shift_strong_libero_goal_t05_ep002_s0176_approach,176,libero_goal,5,1.0115561884434372,0.49
9.222169876098633,2.527106761932373,10.62390756700188,9.858816146850586,10.62390756700188,nan,0.1763768668082457,0.1697572022676468,17.086796146863772,B_camera_shift_strong,0.8773421694887577,2.0151094225238104,B_camera_shift_strong_libero_goal_t5_ep3,3,False,B_camera_shift,0,0.738278299331674,2.1203110326934653,approach,strong,B_camera_shift_strong_libero_goal_t05_ep003_s0168_approach,B_camera_shift_strong/B_camera_shift_strong_libero_goal_t05_ep003_s0168_approach,168,libero_goal,5,2.296834111710428,0.49
8.99555492401123,3.9479284286499023,10.506973769515753,9.411481857299805,10.506973769515753,nan,0.1700802952393298,0.06094205379486084,36.74464131993964,B_camera_shift_strong,0.8451829917355612,1.1622446303742444,B_camera_shift_strong_libero_goal_t5_ep4,4,False,B_camera_shift,0,0.8070192745232868,1.1660503007580365,approach,strong,B_camera_shift_strong_libero_goal_t05_ep004_s0136_approach,B_camera_shift_strong/B_camera_shift_strong_libero_goal_t05_ep004_s0136_approach,136,libero_goal,5,1.3751396345395042,0.48
