state_id,condition,family,suite,task_id,episode_idx,phase,episode_success,episode,token_budget,eef_treatment_mm,eef_nuisance_mm,wall_sec,recovery_A_random,residual_mm_A_random,eef_dev_from_pred_mm_A_random,obj_dev_from_pred_mm_A_random,recovery_B_top_D,residual_mm_B_top_D,eef_dev_from_pred_mm_B_top_D,obj_dev_from_pred_mm_B_top_D,recovery_C_top_S,residual_mm_C_top_S,eef_dev_from_pred_mm_C_top_S,obj_dev_from_pred_mm_C_top_S,recovery_D_top_D_times_S,residual_mm_D_top_D_times_S,eef_dev_from_pred_mm_D_top_D_times_S,obj_dev_from_pred_mm_D_top_D_times_S,recovery_E_top_attention,residual_mm_E_top_attention,eef_dev_from_pred_mm_E_top_attention,obj_dev_from_pred_mm_E_top_attention,recovery_F_top_D_times_attention,residual_mm_F_top_D_times_attention,eef_dev_from_pred_mm_F_top_D_times_attention,obj_dev_from_pred_mm_F_top_D_times_attention,recovery_G_top_U_oracle,residual_mm_G_top_U_oracle,eef_dev_from_pred_mm_G_top_U_oracle,obj_dev_from_pred_mm_G_top_U_oracle,recovery_H_top_U_times_S_oracle,residual_mm_H_top_U_times_S_oracle,eef_dev_from_pred_mm_H_top_U_times_S_oracle,obj_dev_from_pred_mm_H_top_U_times_S_oracle
A_occlusion_medium_libero_goal_t05_ep000_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,0,approach,False,A_occlusion_medium_libero_goal_t5_ep0,64,1.4034318030533142,0.5881572720706595,1.9,0.20807924471174133,1.1114330014677758,0.5473479300911749,0.0,0.46692310691686006,0.7481056014161819,0.6818916526222681,0.0,0.5129537406581574,0.6837703322475365,1.1700695227186768,0.0,0.7649460815785495,0.3299353063696373,1.0825538477964864,0.0,0.5406431238260071,0.6447965501229368,0.7692201239470483,0.0,0.5304715238341581,0.6589972552444988,0.7578982038696452,0.0,0.5901899838741519,0.5752369280231372,0.8928964805003344,0.0,0.5531921030870172,0.6273034023595008,1.2681328299906867,0.0
A_occlusion_medium_libero_goal_t05_ep001_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,1,approach,False,A_occlusion_medium_libero_goal_t5_ep1,64,1.5930807491634542,0.34690535277292933,1.88,0.10684290690329912,1.4228533230766367,0.31969772234720767,0.0,0.551322643473723,0.7148535121190435,0.9154293065289486,0.0,0.7937987049290616,0.32854124365977727,1.603283794643861,0.0,0.6463955315988587,0.5632545129847838,1.9277679004562065,0.0,0.44139290063430653,0.8900288457598967,1.2224674493044232,0.0,0.7332198417568591,0.4249128119446033,1.8010967322488298,0.0,0.3548581302154548,1.0277553009646099,0.7099935956650102,0.0,0.7637426862200117,0.3763788806101182,1.7398125745513449,0.0
A_occlusion_medium_libero_goal_t05_ep002_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,2,approach,True,A_occlusion_medium_libero_goal_t5_ep2,64,2.0796480136043964,0.5240670363315135,1.93,0.005479697565971849,2.068217720468124,0.3487433215544696,0.0,0.8234441495370476,0.36711080775552646,1.722980754665989,0.0,0.9075859636342519,0.1922515445706446,2.0988845190816154,0.0,0.9340587447209464,0.13708032296014938,2.1309061852133846,0.0,0.6077129720660532,0.8158872724062793,1.4226793495785728,0.0,0.7106292795046052,0.6019065450274433,1.5231945795308277,0.0,0.8091724123752438,0.3968743852541352,1.7364566911547659,0.0,0.873370382848981,0.2633055546554903,1.981661601017132,0.0
A_occlusion_medium_libero_goal_t05_ep003_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,3,approach,False,A_occlusion_medium_libero_goal_t5_ep3,64,1.803719937431837,1.5475122196920363,1.92,0.43163331526690696,1.0259544034849861,1.0283761584065259,0.0,0.7224632317326186,0.5005997509901595,1.3591559518502219,0.0,0.7850115075780743,0.3875254859985862,1.5835117657644775,0.0,0.6000886897965324,0.7214245029583708,1.946934766406154,0.0,0.5526899514596085,0.805900460844835,1.6748736153671742,0.0,0.7596561523830537,0.43379926542542696,1.5678194165184596,0.0,0.38386096101633677,1.1119820939385336,1.1934502055714935,0.0,0.6201744788120692,0.6849361607539298,1.9354739811580142,0.0
A_occlusion_medium_libero_goal_t05_ep004_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,4,approach,False,A_occlusion_medium_libero_goal_t5_ep4,64,1.1646033995231122,0.27850059813417,1.82,0.47944486461353525,0.6062980343373984,0.569152605869634,0.0,0.16308544562836702,0.9747245391991467,0.587197699709084,0.0,0.6611176447410415,0.3946881135168417,1.0376217552934472,0.0,0.7071909626456221,0.34102124687486146,1.2288050627317422,0.0,0.5531300162591347,0.5204125873387396,1.0016105445414925,0.0,0.5263617482388679,0.5515987714331354,0.7247667687964667,0.0,0.2324074765674443,0.8939432508489725,0.4261047177717228,0.0,0.7603084117722867,0.2792052366859596,1.1512619450190977,0.0
A_occlusion_medium_libero_goal_t05_ep005_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,5,approach,False,A_occlusion_medium_libero_goal_t5_ep5,64,2.1472747871577695,0.8910843584957173,1.89,0.008595832709673679,2.1283689424266625,0.40042822158324304,0.0,0.5505490524648029,0.9649273216849891,1.3230616628772272,0.0,0.5036444146769776,1.0655836260736786,1.1309539594122386,0.0,0.6098968991723449,0.8374218335043757,1.8515658986186718,0.0,-0.22613884044780205,2.632360389907668,0.6630081196725995,0.0,0.2354788794148409,1.6414764586450588,0.9903797927284598,0.0,0.25789641540925895,1.5934752556637726,0.9936898137673714,0.0,0.6402248905765369,0.7723589076458902,1.470276115190913,0.0
A_occlusion_medium_libero_goal_t05_ep006_s0128_approach,A_occlusion_medium,A_occlusion,libero_goal,5,6,approach,False,A_occlusion_medium_libero_goal_t5_ep6,64,0.508728529848108,1.392253243829772,2.19,0.17033090460569714,0.4200053329016429,0.4335750949970878,0.0,-0.5023153717948036,0.7622761830038297,0.2612257325462127,0.0,0.03824296750699174,0.48750626414744974,0.36488625758428445,0.0,-0.06921892329121404,0.542221108672737,0.32035451706688894,0.0,0.44599414353315897,0.2818060098254865,0.47469149398224014,0.0,0.2828009155749276,0.36449721894402604,0.31891297075637465,0.0,-0.45026047589240115,0.7364471234328335,0.38026109679751846,0.0,0.0159711870654472,0.4990332301799402,0.27147731230629185,0.0
A_occlusion_medium_libero_goal_t05_ep007_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,7,approach,True,A_occlusion_medium_libero_goal_t5_ep7,64,1.681687904730613,0.6847162029914298,1.91,-0.01986481342422956,1.7151630672534182,0.7467355797829963,0.0,0.6864901822747914,0.5268137563906996,1.9123459735864472,0.0,0.4347915563613143,0.9502704321831459,2.2173820999657234,0.0,0.30856364973934,1.1623999035058024,2.4452889349866287,0.0,0.19515058998629975,1.3535219758869677,2.1716042103219215,0.0,0.35470095151273756,1.0850303290995036,2.266298283087402,0.0,0.2651318005962598,1.235865795170019,0.7467560145639934,0.0,0.5922827239679863,0.6856597852386123,1.898886808713432,0.0
A_occlusion_medium_libero_goal_t05_ep008_s0136_approach,A_occlusion_medium,A_occlusion,libero_goal,5,8,approach,True,A_occlusion_medium_libero_goal_t5_ep8,64,0.4725920514638999,1.0101190212253475,2.39,0.06707038357151607,0.42812978052858847,0.16263833071050082,0.18664068040012602,-0.2804391869630794,0.5845831014863441,0.8804745552601005,0.8589653968007637,0.6380130149508747,0.16441976775186565,0.5663745517030679,0.5212356931509817,0.6885304198558683,0.14006756754400165,0.5521771544077664,0.5472394333941186,0.15462878743677422,0.39848228545153025,0.14086713393461817,0.09132434220505986,-0.18947696767599875,0.5399951213060864,0.939768759132512,0.8570008583458982,-0.08771901814669274,0.5018807133395224,0.629613817787245,0.6085884090375683,0.7185434300055743,0.13307294102206044,0.39017275029929,0.38317243992659195
A_occlusion_medium_libero_goal_t05_ep009_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,9,approach,True,A_occlusion_medium_libero_goal_t5_ep9,64,1.9016643823485884,1.7136299701579059,1.89,0.466831423544434,0.9528757321273585,1.1179745124003762,0.0,0.3338078209071014,1.2397973379096592,0.7827034272342962,0.0,0.7458555262836168,0.4613899850555423,2.11106121530808,0.0,0.7673468325382541,0.4201412424431912,1.7778602545613342,0.0,0.732384847868972,0.4702921107827635,2.247619559362176,0.0,0.29619993736145034,1.3003967099983016,0.7892722189534808,0.0,0.5398128034157241,0.8532295816813228,1.1497704980280943,0.0,0.8180370671098091,0.3337709029924632,1.9785312472528387,0.0
