selector,key,recovery_median,recovery_mean,recovery_ci_low,recovery_ci_high,residual_mm_median,ID_recovery_DS_round,recovery_A_occlusion,recovery_B_shift,recovery_success_eps,recovery_failure_eps
random,A_random,0.20898614729066461,0.25302710316612714,0.2092576434931545,0.2965111492133219,1.471664482531207,0.156,0.30349355410448264,0.18013655818842578,0.21233333286388,0.1936106881632993
D,B_top_D,0.7363566222610228,0.6426236334747879,0.5862920838478272,0.6949593694490768,0.588628621750112,0.58,0.7559517800520922,0.7303403143296106,0.7591163821127858,0.627691496431938
S,C_top_S,0.7865134901976074,0.7275342030745375,0.6847353662234354,0.764242657440797,0.4193083345980668,0.66,0.7884476007365314,0.78484358978744,0.7749554817591207,0.7948520127147611
D x S,D_top_D_times_S,0.8223883510421393,0.7644555843972938,0.7274618079595876,0.7980201793636092,0.3714004209678337,0.771,0.8336178341575392,0.8155658197187325,0.8289057502412523,0.7520846085769589
attention,E_top_attention,0.43177430745505563,0.3922365748966675,0.33747107574646,0.44311561892447904,1.1894594359434238,0.362,0.3527148624472103,0.5092442195249289,0.4127037568046862,0.4933813748141653
D x attention,F_top_D_times_attention,0.700895824744297,0.6391728612375431,0.594266336196374,0.6823982735296751,0.6345935578268319,0.578,0.7143581396338996,0.6780809307445386,0.7057969674938688,0.6302989451396641
U (oracle),G_top_U_oracle,0.6288333674299659,0.5498314130591576,0.4926305171725452,0.6043139568704026,0.8508614287983732,0.544,0.7084213042248759,0.5038402021819588,0.6302834114125979,0.6178119960851609
U x S (oracle),H_top_U_times_S_oracle,0.8207195067727067,0.7551937599763167,0.7110443041787315,0.7934875394898505,0.39000268579906516,0.742,0.8287640028178351,0.8094012181685232,0.8243425007127406,0.7730164618605514
