state_id,suite,phase,episode,frac_tokens_lawm_better_than_nochange,mse_pred_global,mse_trivial_global,lawm_better_on_mse,U_median,G_median,D_median,sum_sq_err_pred,sum_sq_err_trivial,q0_G_median,q0_U_median,q0_D_median,q0_frac_better,q0_S_median,q1_G_median,q1_U_median,q1_D_median,q1_frac_better,q1_S_median,q2_G_median,q2_U_median,q2_D_median,q2_frac_better,q2_S_median,q3_G_median,q3_U_median,q3_D_median,q3_frac_better,q3_S_median
libero_goal_t08_ep000_s0016_approach,libero_goal,approach,libero_goal_t8_ep0,0.296875,0.095812072084115,0.1734515930787841,True,7.5467513906816714,4.411965935085123,7.807795929420375,18837.41986831368,34101.97081203359,2.7614371810916882,7.045110333062244,6.943428219346314,0.0,2.2721370669387397e-06,3.7359931458714692,6.680747331233153,6.71066060870501,0.0,4.814969997823937e-06,5.487562002322548,7.173992221041026,7.057017934142889,0.1875,2.0238453544152435e-05,22.371118803468264,9.838807620189794,20.852115524489022,1.0,2.7610381948761642e-05
libero_goal_t08_ep000_s0032_pre_grasp,libero_goal,pre_grasp,libero_goal_t8_ep0,0.26171875,0.09123337388514151,0.12467954681098048,True,6.970946167396581,3.512961210697731,7.106473767034119,17937.2111728099,24512.996339413246,1.9121547607046483,6.805975707895369,6.861755029983294,0.0,3.2358140060750884e-06,2.7745255603836103,5.698985717697228,5.823433581872376,0.0,7.5194352575636e-06,4.517435013701363,5.983674823471947,5.8803200193988445,0.109375,1.6412641343777068e-05,17.117711275440236,10.788960716035792,17.29854835873489,0.9375,2.1688385459128767e-05
libero_goal_t08_ep000_s0056_manipulation,libero_goal,manipulation,libero_goal_t8_ep0,0.21875,0.1027348471740941,0.08884607575017761,False,7.231025234628689,2.7420406264429253,7.220911479129295,20198.49283320429,17467.849261090927,1.670972319183094,7.421098823999429,7.1021183175194444,0.0,2.3367822450381937e-06,2.243984076113626,6.512473276309967,6.228306123338218,0.0,4.917874548482359e-06,3.297512229519965,6.035953499452104,5.690772211450036,0.03125,1.4930611087038415e-05,14.097359047889842,11.110805174627973,11.790975756301997,0.84375,1.3326681255421136e-05
libero_goal_t08_ep001_s0016_approach,libero_goal,approach,libero_goal_t8_ep1,0.328125,0.09371383741871124,0.18555589624020563,True,7.66826292625327,4.187856267577663,7.655270255985625,18424.89014721798,36481.773647994356,2.6256087099184446,7.586454683952162,7.455867621946526,0.0,2.1097521312185563e-06,3.5596904939365057,6.568935776536395,6.349088767339946,0.0,2.780129193524772e-06,5.498201037535621,7.155122522151265,7.004134392876628,0.3125,1.2268239515833557e-05,23.422817973037276,9.516219386771715,21.342472716641442,1.0,1.820065972424345e-05
libero_goal_t08_ep001_s0032_pre_grasp,libero_goal,pre_grasp,libero_goal_t8_ep1,0.22265625,0.08343877209811174,0.0958976967556856,True,6.948146957907358,2.5180661307244927,7.173788994277865,16404.730104665552,18854.254363741835,1.477591885557735,7.10556543539637,7.026626663041895,0.0,3.027879870387551e-06,2.1468560452389966,5.92609796687615,5.741244682940202,0.0,7.871933121350594e-06,3.3339027824680727,5.744392542300776,5.7818707122594235,0.015625,1.857205461419653e-05,14.677780546184865,9.096280683094438,16.027425330269978,0.875,1.9402280486247037e-05
libero_goal_t08_ep001_s0056_manipulation,libero_goal,manipulation,libero_goal_t8_ep1,0.1875,0.09372877731225206,0.0889874982728943,False,7.048023034094131,3.144907847611641,7.079178419764072,18427.827449807257,17495.654060437202,1.923380139989155,7.347702051470934,7.362911135439517,0.0,2.346728251723107e-06,2.538197335305663,6.362515377119175,6.441636909846002,0.0,8.826953489915468e-06,3.8685839641822053,6.072950770262786,5.790081956481758,0.03125,1.9175933630322106e-05,13.203666210825245,11.045860220891132,10.872736408062991,0.71875,2.0213700736348983e-05
libero_goal_t08_ep002_s0016_approach,libero_goal,approach,libero_goal_t8_ep2,0.3828125,0.10035981359308967,0.1791002550986244,True,7.089432605800497,4.8199267697152886,7.522907281058834,19731.542230910174,35212.54295443033,3.120481944823586,6.432500706321557,6.854137983563513,0.0,3.1139946941038943e-06,4.151003782135295,6.013427253085842,6.380061417052046,0.015625,3.895761437888723e-06,5.886129856622058,6.44268560338886,6.8779175908629036,0.53125,1.244977784153889e-05,22.79689979414183,10.925773825774119,19.981978667438298,0.984375,2.793296971503878e-05
libero_goal_t08_ep002_s0032_pre_grasp,libero_goal,pre_grasp,libero_goal_t8_ep2,0.26171875,0.09181975235812245,0.12593873015888493,True,7.252557571041102,3.3224703276510725,7.40173871530612,18052.497871625732,24760.56185907805,1.9168774053916091,6.911780232409956,7.027045081391458,0.0,3.963494236813858e-06,2.7369093019229433,6.337876590931607,6.12687007799904,0.0,6.32696401225985e-06,4.113092392841612,6.658815361521015,6.8038870156413305,0.046875,1.7412609849998262e-05,17.474773060881237,9.633487516245129,16.845709503260316,1.0,2.4091149498417508e-05
libero_goal_t08_ep002_s0056_manipulation,libero_goal,manipulation,libero_goal_t8_ep2,0.14453125,0.11319730537224869,0.0725192254895586,False,7.199029750389568,2.811746080832008,6.921018815324616,22255.495814627073,14257.859885051132,1.7034942711644598,7.389536442102111,6.984143551687371,0.0,2.0620645955204964e-06,2.346727245869932,5.979743940311462,5.739254980981937,0.0,6.207943897607038e-06,3.3808805080895716,6.270943543460703,5.835696312701835,0.0,1.6384573427785654e-05,12.193132905795606,12.681273349917142,11.550708066502132,0.578125,1.410259619660792e-05
libero_goal_t08_ep003_s0016_approach,libero_goal,approach,libero_goal_t8_ep3,0.30859375,0.09361356076163546,0.1832002126924772,True,7.3616874117825635,3.715885469754829,7.915275652682814,18405.174954223625,36018.627417042546,2.049268420888567,7.228934630824135,7.405949872244323,0.0,1.6258466644103464e-06,2.910225736168696,6.796617324872918,6.9920890929408195,0.0,2.8224352490724414e-06,5.120569831487243,6.560637324506887,7.077535903065515,0.234375,1.9721801436389796e-05,23.44429869871726,9.7808567030178,21.86544203491858,1.0,1.4611428468924714e-05
