state_id,suite,task_id,phase,episode,token_budget,eef_treatment_mm,eef_nuisance_mm,obj_treatment_mm,recovery_A_random,residual_mm_A_random,eef_dev_from_pred_mm_A_random,action_maxabs_A_random,obj_dev_from_pred_mm_A_random,recovery_B_top_D,residual_mm_B_top_D,eef_dev_from_pred_mm_B_top_D,action_maxabs_B_top_D,obj_dev_from_pred_mm_B_top_D,recovery_C_top_S,residual_mm_C_top_S,eef_dev_from_pred_mm_C_top_S,action_maxabs_C_top_S,obj_dev_from_pred_mm_C_top_S,recovery_D_top_D_times_S,residual_mm_D_top_D_times_S,eef_dev_from_pred_mm_D_top_D_times_S,action_maxabs_D_top_D_times_S,obj_dev_from_pred_mm_D_top_D_times_S,recovery_E_top_U_oracle,residual_mm_E_top_U_oracle,eef_dev_from_pred_mm_E_top_U_oracle,action_maxabs_E_top_U_oracle,obj_dev_from_pred_mm_E_top_U_oracle,recovery_F_top_U_times_S,residual_mm_F_top_U_times_S,eef_dev_from_pred_mm_F_top_U_times_S,action_maxabs_F_top_U_times_S,obj_dev_from_pred_mm_F_top_U_times_S,recovery_G_top_attention,residual_mm_G_top_attention,eef_dev_from_pred_mm_G_top_attention,action_maxabs_G_top_attention,obj_dev_from_pred_mm_G_top_attention,recovery_H_top_D_times_attention,residual_mm_H_top_D_times_attention,eef_dev_from_pred_mm_H_top_D_times_attention,action_maxabs_H_top_D_times_attention,obj_dev_from_pred_mm_H_top_D_times_attention,wall_sec
libero_goal_t08_ep000_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep0,64,2.750836365015184,0.6345716221350594,0.0,0.3617553305458531,1.755758014389153,1.0736375512833358,0.017862101395924885,0.0,0.8868721630127275,0.31126946131538147,2.5857252872776733,0.04425448179244995,0.0,0.6358160456228921,1.0016779072561495,1.9482287262380373,0.03478868802388509,0.0,0.7938284959535272,0.5671046350186421,2.3276410094375435,0.03891634941101074,0.0,0.8698904813570901,0.3579557490266199,2.570133947629182,0.04180866479873657,0.0,0.7330351865832836,0.7343101375560152,2.1399510683091347,0.036093304554621376,0.0,0.2644493248883182,2.0233107649347546,0.7580037743635026,0.019945393006006878,0.0,0.6732894815488283,0.8986819868941321,2.0822333232722983,0.035966565211613975,0.0,1.9
libero_goal_t08_ep000_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep0,64,0.9632077680048098,0.5400005141661351,0.0,0.5219585905825469,0.46049501768829554,0.5263134167362779,0.008137742678324381,0.0,0.7002027006388362,0.2887697339146187,0.6828108859724002,0.01460169441998005,0.0,0.34427109508006914,0.6315379015178496,0.3437714036228163,0.016313348586360615,0.0,0.5683483878179669,0.41573843004804534,0.6176718929406978,0.016580862924456596,0.0,0.7975507175522697,0.19493251104753018,0.8740061937950286,0.012806872526804606,0.0,0.6028797027406851,0.3825105485025901,0.6357965351397107,0.015613429248332977,0.0,0.3274598985025073,0.6477893520857329,0.3376886049980075,0.00906290610631307,0.0,0.7597435069778334,0.23148937342597423,0.7482924963264522,0.0124202910810709,0.0,1.97
libero_goal_t08_ep000_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep0,64,1.0032433707736834,0.42643829474936995,1.0379201335014692,0.09573357206832167,0.9070841380816429,0.12086077494060354,0.0027060098946094513,0.14483363142708566,0.7477389545523012,0.25238874432608394,1.2299705296212151,0.01805591583251953,1.2333910204353626,0.44977581134046885,0.5517090679445378,0.5004270651364446,0.011460731426874796,0.5326524979851849,0.8220748795650138,0.17840340332052382,0.8680749350803736,0.017652302980422974,0.9050729138348453,0.8636062880917837,0.13693035014062638,0.9193801128553116,0.01707733670870463,0.8972775571101903,0.6869409838028924,0.31376127304521145,0.7259774091542344,0.014716694752375284,0.7606874069840279,0.6012818126519521,0.400201792746626,0.6226264637953184,0.011761456727981567,0.6553488992254988,0.8950172601992014,0.10507712279112191,1.0007989536266049,0.01927289366722107,1.0014649006824152,2.81
libero_goal_t08_ep001_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep1,64,0.8141988543119695,0.3842140869435154,0.0,0.6536367720237729,0.2820217822615769,0.5324054338720613,0.010162055492401123,0.0,0.8037635783718713,0.15978250352442916,0.6896578374830877,0.01877245306968689,0.0,0.45726172635100276,0.44182811491870755,0.4131314776178317,0.012920151154200235,0.0,0.8797205424781672,0.09794356295058158,0.7698304557248958,0.019872089227040608,0.0,0.9006380680092853,0.08089808511122056,0.799667573143167,0.018344024817148846,0.0,0.5367964824301222,0.3770703409366793,0.4479559295446078,0.013021488984425863,0.0,0.32984128373700133,0.5456837240411675,0.2740053166568616,0.009370366732279459,0.0,0.7637944997480742,0.19236018484841952,0.7061559487732371,0.016498724619547527,0.0,1.89
libero_goal_t08_ep001_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep1,64,0.5718697684575763,0.37806960205840046,0.10107270587450187,0.41169088598963866,0.33588784025901836,0.28448811763512954,0.006020622948805491,0.07638824664014816,0.5427272260993975,0.2610254000375983,0.38671383748455906,0.009076793988545736,0.07997543906966903,0.6291365317371761,0.2115224443310123,0.6595922772061629,0.014962911605834961,0.14510192582226694,0.6378341674724685,0.2065623838200051,0.6011866910215442,0.014325002829233805,0.06268320877010439,0.25186307355971393,0.42832558586912256,0.16130894499762338,0.008642355600992838,0.05497451638508875,0.5630657077083941,0.24906884181613864,0.6769045386473588,0.014960000912348429,0.08336657475291999,0.7288441492721373,0.1542768528437816,0.4789099520554319,0.012878060340881348,0.10627387455940956,0.3696582670457957,0.3595899884505946,0.3562927259759298,0.008331199487050375,0.05911948504239384,2.14
libero_goal_t08_ep001_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep1,64,1.3424496314291434,0.2955759519274392,1.3602269535641278,0.2661406279950265,0.9851921034434534,0.3909718915036502,0.005982706944147746,0.4123512961885908,0.952869650717178,0.06324329802354858,1.3529399211741584,0.026083598534266155,1.3510011164332019,0.721000293503998,0.3745621004279898,1.434712673450034,0.021492987871170044,1.4383949491974917,0.773344425889789,0.3042649100958736,1.2171993041198246,0.025641997655232746,1.2145205195408344,0.8843437882702032,0.15525622063126607,1.226328590768092,0.023630390564600628,1.2333767226058985,0.7686573926459944,0.31055748731598637,1.2412935774340788,0.027251005172729492,1.2515410062693464,-0.18270014447931682,1.5877363948760281,0.2479197215872283,0.00597249964872996,0.24169101685748506,0.4020926767612994,0.8026823450473262,0.5684385291732229,0.015032132466634115,0.5537045438974487,2.84
libero_goal_t08_ep002_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep2,64,3.287361469633802,0.6947021856508695,0.0,0.44865820922895105,1.8124802147648211,1.5173584630279888,0.02359306812286377,0.0,0.8143833603900074,0.6101049351014173,3.6845467934920992,0.053491294384002686,0.0,0.8414867463546525,0.5210385041008916,2.858809561644815,0.039814651012420654,0.0,0.927399475456915,0.23865935583444964,3.0527587671624965,0.04383569955825806,0.0,0.8420620777073594,0.5191692323889839,3.51245582617029,0.0508082906405131,0.0,0.9253746948197409,0.24529073052182118,3.081025119282263,0.044310569763183594,0.0,0.3618534652824544,2.0977671230445414,1.2429624071542296,0.0169180432955424,0.0,0.6246210890573131,1.2339958301068323,2.160259386847461,0.03009567658106486,0.0,1.92
libero_goal_t08_ep002_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep2,64,0.8195286649907947,0.6930738851920344,0.0,0.177999260387026,0.6737064409252139,0.33186868413229775,0.005212068557739258,0.0,0.1664105746470168,0.6831330708258329,0.8806676364868822,0.012000744541486105,0.0,0.480276078816033,0.42591424188458227,0.7983410566266533,0.010596717397371927,0.0,0.31560355145694724,0.5608673561464571,0.7530008850683276,0.011658117175102234,0.0,-0.13634509686831406,0.9311945895892348,0.7802475510160048,0.009844029943148295,0.0,0.49299300802347296,0.4154812002897345,0.7848545307340856,0.011755958199501038,0.0,0.13874895993455683,0.7057732013106234,0.4048357961235985,0.007962768276532492,0.0,0.07513307245574212,0.7578716416121197,1.0354843924622419,0.014128178358078003,0.0,1.92
libero_goal_t08_ep002_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep2,64,0.9101072529229737,0.38936831177676184,0.8755556335112334,0.17663372655132492,0.749366385307471,0.5206549527297507,0.013397226730982462,0.5454771917977183,0.5402039535830104,0.41845571800361886,0.5340332965240234,0.013893206914265951,0.5324917356055908,0.49932312065104095,0.45560787499725713,0.4723547017960512,0.008519520362218222,0.43196318322355637,0.5693837376258615,0.39184957468851717,0.5503744011185773,0.011488924423853556,0.5072936126498088,0.48488435748066844,0.468799633352823,0.5601501794549958,0.013774479428927103,0.5687084646563735,0.5766730412719084,0.3852149068302447,0.5626125666820664,0.012673656145731607,0.5180627885893215,0.37980990734638126,0.5644559878819092,0.35255360482044834,0.009407425920168558,0.3350036500236451,0.4442832548967471,0.5056872459218057,0.4114268495268963,0.012868131200472513,0.3831662538015012,2.23
libero_goal_t08_ep003_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep3,64,1.4873812844458358,0.4563161730750118,0.0,0.2999804358418121,1.041428846250056,0.46455055299528164,0.010064850250879923,0.0,0.2961400668399323,1.0465764032644325,0.47585372278310983,0.009926761190096537,0.0,0.8695112552187242,0.1939673760138485,1.300895463129146,0.029758845766385395,0.0,0.9220910936004527,0.1158365083184012,1.385322817770283,0.0289433350165685,0.0,0.6648198768834878,0.4981903378063544,1.122729347657375,0.02333490550518036,0.0,0.8620743161780767,0.20503752845098192,1.2969858165857293,0.029554928342501324,0.0,0.7404537587496508,0.38661688735501226,1.1041929844325094,0.02050181229909261,0.0,0.6633148390057465,0.5010101151346508,0.9911824179639028,0.02049793799718221,0.0,1.92
libero_goal_t08_ep003_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep3,64,0.43965188828566576,0.13811213785958637,0.06128240159172743,0.26499210683843943,0.3230577468251435,0.11958877549730533,0.0037713050842285156,0.017447164917113553,0.49399674105684044,0.2224249286055505,0.22972914397258704,0.01091239849726359,0.03621695050907051,0.750270720356033,0.109739829227164,0.3527376412417415,0.009374702970186869,0.047551074366124664,0.8245167170997179,0.07714970668260081,0.48390259878163766,0.01266959806283315,0.04701018271421991,0.29008953373245566,0.3120489065698158,0.14119259881278787,0.009395577013492584,0.02746072723115084,0.8308783991846723,0.07433791289037449,0.4114796930334467,0.010041947166124979,0.051720514675330564,0.6654225984404173,0.14702283844762817,0.3278806919259148,0.008859743674596151,0.029569662286809625,0.4894644483130571,0.2243399108815685,0.21960850432605042,0.009285623828570047,0.030533846243270005,2.43
