selector,key,recovery_median,recovery_mean,recovery_ci_low,recovery_ci_high,residual_to_oracle_mm_median,eef_dev_from_pred_mm_median,action_maxabs_median
random,A_random,0.15615797493036937,0.12500082500936896,0.02043440136625968,0.21581863365576198,0.7321924812634972,0.3441346122631792,0.007182826598485311
D,B_top_D,0.5795239013641387,0.5470231262972428,0.47966975629490244,0.6122188377752312,0.3455504434228076,0.6847543836642858,0.013814096649487814
S,C_top_S,0.6604835601782614,0.5731894558732821,0.48324234544395045,0.6475493438631872,0.2778421467911516,0.7396555530130446,0.014353605608145397
D x S,D_top_D_times_S,0.7712977223269009,0.6950096615611165,0.6547238984641314,0.7390674284208724,0.18406753300840978,0.7484524385607538,0.016542331936458744
U (oracle),E_top_U_oracle,0.5443006564281332,0.5001138424810889,0.4350387587426018,0.5715056179742065,0.39532967970508803,0.7800994335044213,0.015251266459623974
U x S (oracle),F_top_U_times_S,0.7419842857023824,0.673849912551523,0.6224579082866025,0.7243096758491272,0.2132179522725201,0.7189426405797037,0.015129720171292622
attention,G_top_attention,0.3618573291268095,0.3167021041352952,0.25791746424994666,0.37940161455976323,0.5162306106216723,0.5260543012688141,0.010110234220822651
D x attention,H_top_D_times_attention,0.5784898634218949,0.27571786600805337,-0.20026387989379074,0.5517168844922966,0.38257859837650243,0.7205364212961911,0.014166588584582012
