state_id,suite,task_id,phase,episode,D_median,G_median,U_median,cos_median,D_over_G_median,G_over_htnorm,frac_tokens_G_lt_D,sp_D_U,sp_G_U,sp_D_G,sp_cos_U,sp_absDG_U,sp_1mcos_U,pe_D_U,sp_D_U_b4a_cosperm,sp_D_U_b4b_cos0,sp_G_U_b4a,sp_D_1mcos,sp_D_relerr,sp_S_resid_iso,sp_S_resid_lin,sp_S_U,sp_S_D,sp_resid_iso_errdev,sp_D_errdev,sp_U_errdev,sp_S_errdev,sp_DS_errdev,sp_US_errdev,sp_Datt_errdev,sp_att_errdev,u_float16_rel_error
libero_goal_t08_ep000_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep0,7.807795929420375,4.411965935085123,7.5467513906816714,0.35087466533524014,1.4746604018004281,0.159202858600839,0.765625,0.8762016479743648,0.3255250057221332,0.5466918917372396,0.12238212405584802,0.34149762531471733,-0.12238212405584802,0.6528324047590495,0.8091625658045319,0.959118934538796,0.48705724994277866,-0.4905055504692149,-0.35466997596704053,-0.21413295376516364,-0.1728477626459144,0.15029254406042572,0.2793788624399176,-0.19807807850766765,0.42375042915999084,0.297773374914168,0.8665183680476082,0.8891944666971847,0.8817778667887388,0.4644998855573358,0.1310718986037995,0.0003228199893089266
libero_goal_t08_ep000_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep0,7.106473767034119,3.512961210697731,6.970946167396581,0.3348264953337997,1.5549315192251152,0.12676319553094786,0.80859375,0.9239328221560998,0.3781242847333486,0.49048981460288393,0.2571591039139391,0.2553816662851911,-0.2571591039139391,0.8053491221105314,0.8741223678187228,0.9573615243762875,0.4799296177615015,-0.5008747711146716,-0.324117360952163,-0.24198543717097734,-0.25760256923781183,0.06878290226596476,0.16377603570611124,-0.1392023346303502,0.3353899633783474,0.2715602826733806,0.8543888761730373,0.8769970244907301,0.8857547493705653,0.3095809967956054,0.058754148546578164,0.00024559276846997525
libero_goal_t08_ep000_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep0,7.220911479129295,2.7420406264429253,7.231025234628689,0.1569566870283729,2.0801127521769356,0.09894502948599823,0.8125,0.9387266823071642,0.2991237983520256,0.34527208743419546,0.25112582970931563,0.47658145456626233,-0.25112582970931563,0.7893836735552313,0.912233205539025,0.962198157473106,0.4206218528267338,-0.3912630178530556,-0.16236338406958115,-0.0709680418860151,-0.20716768711375602,-0.16677371824216067,-0.14583929388876174,-0.08639920462348363,0.0847025921263447,0.07758068207827878,0.7857440203707943,0.8137889105058366,0.8156993877317464,0.2539017795834287,0.2071562428473335,0.0002982295969476486
libero_goal_t08_ep001_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep1,7.655270255985625,4.187856267577663,7.66826292625327,0.3608742905899167,1.5209113815328383,0.15111606001062028,0.75390625,0.823222562371252,0.23112196726939804,0.5310111009384298,0.014878976882581826,0.43667958915083543,-0.014878976882581826,0.608001419482448,0.8195868619821469,0.9542086289768826,0.4819330796520943,-0.47182493133440145,-0.3610601682307164,-0.35573143167772947,-0.37593986037994964,-0.04430075532158389,0.19803087090867474,-0.285834859235523,0.32088721675440607,0.1023668173495079,0.8803616388189517,0.8957734893568322,0.8937929159990845,0.48177786678873885,0.2816269455252918,0.0003442347258928972
libero_goal_t08_ep001_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep1,7.173788994277865,2.5180661307244927,6.948146957907358,0.24841927615740778,2.109973742059775,0.09086281116768476,0.87109375,0.9243877317463951,0.27689116502632183,0.4329337376974136,0.23118705653467614,0.30283960860608833,-0.23118705653467614,0.7403349309341093,0.9128984035248341,0.9790441176470588,0.4126237411306935,-0.4794975967040513,-0.2527416170748455,-0.14925326161593042,-0.21384398603799495,-0.03365544174868391,0.03059624628061341,-0.15511201075761044,0.24958443007553216,0.17167615587090868,0.8310904955367361,0.8671599622339208,0.8599550812542917,0.25774490730144195,0.060063086518654156,0.00031958414486646917
libero_goal_t08_ep001_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep1,7.079178419764072,3.144907847611641,7.048023034094131,0.2823701393093894,1.8128972693696759,0.11348223723122791,0.77734375,0.9343320840009155,0.3209472991531243,0.3020435168230716,0.19671048867017624,0.38496724078736555,-0.19671048867017624,0.8274299664171086,0.9094336518654155,0.9427021343556878,0.4077284561684596,-0.3693393797207599,-0.1153067063401236,0.06662994964522774,-0.009472276264591439,-0.07088936255436026,-0.10131752117189288,0.13129935339894713,0.11472090295262073,0.15292114900434883,0.8112203879606317,0.8407494563973449,0.8402974078736553,0.2577406157015335,0.16677085717555504,0.0003455640153585215
libero_goal_t08_ep002_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep2,7.522907281058834,4.8199267697152886,7.089432605800497,0.4850077544555479,1.2720890877472533,0.17392402893110942,0.6875,0.9184045262073701,0.4348964293888762,0.559897859922179,0.17270971618219272,0.47159103913939115,-0.17270971618219272,0.7703598013713736,0.8598220416571298,0.9535663195239186,0.5549925612268254,-0.4524340524147402,-0.33495222018768595,-0.103481202792401,-0.08785548752574959,0.19146329251544977,0.22914854657816433,-0.07587262531471732,0.4145263504234379,0.3796141851682307,0.8792651350423438,0.9133411535820554,0.9097455081254292,0.4769812886243992,0.17003891050583658,0.00036497348598997525
libero_goal_t08_ep002_s0032_pre_grasp,libero_goal,8,pre_grasp,libero_goal_t8_ep2,7.40173871530612,3.3224703276510725,7.252557571041102,0.32213810092037376,1.704633656243074,0.11988969372575471,0.79296875,0.915651464866102,0.34803945410849163,0.45349407759212634,0.2928974021515221,0.3285083829251545,-0.2928974021515221,0.6960669606071542,0.8961504348821241,0.9663982032501717,0.45086547264820326,-0.5291399633783475,-0.27399934195468073,-0.15608620393682765,-0.19129806591897458,0.07176198786907759,0.1488405527580682,-0.12320396543831541,0.3104393167772946,0.24640292401007097,0.8525298981460289,0.8717541199359121,0.8754520485236896,0.3138210975051499,0.1116481174181735,0.0003546782025555562
libero_goal_t08_ep002_s0056_manipulation,libero_goal,8,manipulation,libero_goal_t8_ep2,6.921018815324616,2.811746080832008,7.199029750389568,0.12345036499968345,1.9931872270250712,0.10145949997788076,0.84765625,0.957222047379263,0.4175619420920119,0.38312256809338524,0.12402294575417716,0.38967655642023347,-0.12402294575417716,0.8766413540195678,0.9358792057679103,0.9703693636987869,0.4698279068436713,-0.27847405012588694,-0.11758196955825131,-0.028472619592584115,-0.10136329823758297,-0.12346789883268483,-0.11117961776150148,-0.008520256351567864,0.19665755893797207,0.18576118677042802,0.7718249313344014,0.8244907301441977,0.8267166399633783,0.38907716296635386,0.28941119249256125,0.0003316055377559581
libero_goal_t08_ep003_s0016_approach,libero_goal,8,approach,libero_goal_t8_ep3,7.915275652682814,3.715885469754829,7.3616874117825635,0.4189237517378501,1.7605848075960306,0.13408576015180237,0.765625,0.9036800469214923,0.33049897001602196,0.555297264820325,0.2174968528267338,0.28436140993362324,-0.2174968528267338,0.6745130590862131,0.8762681677729458,0.9626080052643625,0.4873068780041199,-0.5271787022201877,-0.3922043087663081,-0.2633690489814603,-0.1993913080796521,0.09162494277866788,0.22992818722819866,-0.21324673838406957,0.3929353112840467,0.2720359349965667,0.8563122281986725,0.8832384412909132,0.8792029068436713,0.46653481918059053,0.2390621423666743,0.00023624487031244227
