state_id,suite,task_id,phase,episode_idx,step,S_median,S_p95,S_max,S_min,S_mean,S_p95_over_median,S_max_over_median,S_gini,raw_dev_median_eps_mid,raw_dev_max_eps_mid,raw_dev_max_eps_large,raw_dev_max_mm_eps_mid,sum_tokens_raw_dev_eps_mid,rank_stab_eps_small_mid,rank_stab_eps_mid_large,rank_stab_dirs_mean,linearity_mid_over_small,linearity_large_over_mid,ctrl_zeros,ctrl_replaced_by_h_t,ctrl_scaled_105,ctrl_permuted,ctrl_all_tokens_eps_mid,ctrl_repeat_identical,ctrl_flow_noise,zeros_over_noise,inbatch_baseline_vs_B1,delta_norm_rel_err,baseline_action_absmean
libero_goal_t08_ep000_s0016_approach,libero_goal,8,approach,0,16,8.349223207915202e-06,0.0001114903534471523,0.0004128553264308721,1.9849277066441573e-07,2.59537100646412e-05,13.353380388903437,49.4483528137207,0.6874005857346949,6.779569048376288e-06,0.00033523852471262217,0.001130750053562224,0.28113940358161926,0.005395050160586834,0.9986932078278782,0.9961196784161135,0.9155181868467231,2.9736865817113944,3.5430372965086194,0.06072021195119135,0.0694641238967911,0.008298796641259425,2.6862297213687726e-08,0.0005372125145787479,0.0,0.00457343204976385,13.276727693882902,3.5762786865234375e-07,3.3783296826683795e-07,0.21762511134147644
libero_goal_t08_ep000_s0032_pre_grasp,libero_goal,8,pre_grasp,0,32,1.0802788892760873e-05,6.737086550856475e-05,0.00015816021186765283,2.9989743666192226e-07,2.0142550056334585e-05,6.236432663579224,14.6406831741333,0.5816922846980457,8.771865395829082e-06,0.00012842607975471765,0.00046498863957822323,0.1104523167014122,0.0041870721615850925,0.9978928244449531,0.9945897230487526,0.891179331654841,2.974200961726948,3.5227613058702634,0.0067657826429357555,0.007466106965835202,0.0019192282081090142,2.7680420432058217e-08,0.0002975922618731693,0.0,0.004497670297317969,1.5042860404797338,3.5762786865234375e-07,3.3783296826683795e-07,0.22052398324012756
libero_goal_t08_ep000_s0056_manipulation,libero_goal,8,manipulation,0,56,8.889977834769525e-06,6.823272087785881e-05,0.0001382895279675722,1.4321319952159683e-07,1.7869977455120534e-05,7.675240832546773,15.555665969848633,0.6113519461867178,7.218661266961135e-06,0.00011229109804844484,0.0004043507797177881,0.08879788964986801,0.0037146680988371372,0.9977705138475623,0.9934488727397573,0.8893506332494088,2.9316797852924346,3.478982134980389,0.0064975049487198105,0.0050821241573097194,0.0013680177052885895,4.217348321822069e-08,0.00031149420875199377,0.0,0.004665331157113836,1.3927210587853387,4.76837158203125e-07,3.3783296826683795e-07,0.43397262692451477
libero_goal_t08_ep001_s0016_approach,libero_goal,8,approach,1,16,6.158399628475308e-06,0.00010101780753757339,0.0001795185962691903,2.2316709191727568e-07,2.067481545964256e-05,16.4032563054995,29.15020179748535,0.6927410170973004,5.000620149075985e-06,0.00014576909597963095,0.0004830694815609604,0.09263519197702408,0.004297715611755848,0.9982390135042344,0.9967205024032959,0.914723287174792,2.9278950343947465,3.4334476784170347,0.04723069810694924,0.04756972184973586,0.00458323116636218,2.5261856596952014e-08,0.0003434078597697096,0.0,0.0041453251042532155,11.3937259247747,7.152557373046875e-07,3.219970476919798e-07,0.2054084986448288
libero_goal_t08_ep001_s0032_pre_grasp,libero_goal,8,pre_grasp,1,32,1.1560568964341655e-05,7.79837355366908e-05,0.00015695231559220701,1.8047769856366358e-07,2.127555308106821e-05,6.745665873127013,13.576521873474121,0.5914177436137045,9.387182217324153e-06,0.00012744525156449527,0.0004233304352965206,0.09365236759185791,0.004422591533511877,0.9982382982375829,0.993037594415198,0.8924289024948502,2.964815913026527,3.5236421004035052,0.13243713070464214,0.13276954616989103,0.0015998792106665678,3.4441850785328804e-08,0.0003957888324504933,0.0,0.0052489267192487735,25.23127827617996,7.152557373046875e-07,3.3783296826683795e-07,0.235702782869339
libero_goal_t08_ep001_s0056_manipulation,libero_goal,8,manipulation,1,56,1.0074181773234159e-05,8.28984848340042e-05,0.00019236317893955857,3.944169293390587e-07,2.0185851099085994e-05,8.228805743237142,19.094669342041016,0.6072387943729353,8.180235454346985e-06,0.00015619890473317355,0.0004798653826583177,0.11791673302650452,0.004196072928607464,0.9982561799038682,0.9956125543602655,0.8982599946593424,2.9672521387157706,3.541300761293635,0.004905832176337881,0.002434311525667755,0.0012286003296709449,4.317540110944796e-08,0.0003470621867286895,0.0,0.004674292898518877,1.0495346104417997,7.152557373046875e-07,3.3783296826683795e-07,0.3986853063106537
libero_goal_t08_ep002_s0016_approach,libero_goal,8,approach,2,16,8.012175385374576e-06,9.946690624929033e-05,0.0002596355916466564,1.26129009458964e-07,2.3137237803894095e-05,12.414469412496539,32.40513229370117,0.6601515196184017,6.505886176455533e-06,0.00021082408784423023,0.0007687311735935509,0.1833251267671585,0.004809584002941847,0.9975366216525521,0.995906528953994,0.9076447699702448,2.9716174545060916,3.559649175896613,0.04937298898053426,0.05735399448281853,0.006055119271347337,2.951542508151829e-08,0.0006859098882104094,0.0,0.004729803374572544,10.438697990272447,4.76837158203125e-07,3.3783296826683795e-07,0.22426457703113556
libero_goal_t08_ep002_s0032_pre_grasp,libero_goal,8,pre_grasp,2,32,1.1549836926860735e-05,7.025017293926794e-05,0.00022353608801495284,9.472861961512535e-08,2.133189991582185e-05,6.082351931384546,19.354047775268555,0.58592791697384,9.378467439091764e-06,0.00018151129188481718,0.0005669274250976741,0.14880424737930298,0.004434305243194103,0.9971217669947356,0.9932629034103914,0.8801718547341116,2.9778298257193754,3.4608591974308505,0.007017918667076569,0.004963222906061436,0.0016484719036564083,3.494210989108778e-08,0.00027529300272868985,0.0,0.005264589572352586,1.3330419343478799,3.5762786865234375e-07,3.219970476919798e-07,0.20470844209194183
libero_goal_t08_ep002_s0056_manipulation,libero_goal,8,manipulation,2,56,8.518433787685353e-06,6.239852336875629e-05,0.00011254731361987069,2.990265954849747e-07,1.713916026346851e-05,7.325116908106102,13.212207794189453,0.5902022271442438,6.916968231962528e-06,9.138841414824128e-05,0.0002986266335938126,0.0646858736872673,0.0035627514589577913,0.9979493305104142,0.9945303559166857,0.9028033684290837,2.948443804338582,3.43975370883329,0.007250116156133023,0.005944545772784368,0.0014031319926982332,4.4479968670784974e-08,0.000348601073162259,0.0,0.004440659028772236,1.6326667076119898,4.76837158203125e-07,3.3783296826683795e-07,0.4179815649986267
libero_goal_t08_ep003_s0016_approach,libero_goal,8,approach,3,16,6.7309597397979815e-06,7.914044181234203e-05,0.0001810825924621895,1.5305249689845368e-07,1.9635665012174286e-05,11.757675706245912,26.902938842773438,0.6817935286359952,5.465540198201779e-06,0.00014703907072544098,0.000510380370542407,0.1110537126660347,0.0040817055851221085,0.9980737869077592,0.9962534332799268,0.9232893205920502,2.912129727626905,3.474611433792085,0.04462231267615333,0.043981768897762855,0.0036718917084345892,3.219467777282671e-08,0.00038928290602063516,0.0,0.004404553196664852,10.130951014495988,4.76837158203125e-07,3.3783296826683795e-07,0.22051285207271576
