state_id,suite,task_id,phase,episode_idx,step,S_median,S_p95,S_max,S_min,S_mean,S_p95_over_median,S_max_over_median,S_gini,raw_dev_median_eps_mid,raw_dev_max_eps_mid,raw_dev_max_eps_large,raw_dev_max_mm_eps_mid,sum_tokens_raw_dev_eps_mid,rank_stab_eps_small_mid,rank_stab_eps_mid_large,rank_stab_dirs_mean,linearity_mid_over_small,linearity_large_over_mid,ctrl_zeros,ctrl_replaced_by_h_t,ctrl_scaled_105,ctrl_permuted,ctrl_all_tokens_eps_mid,ctrl_repeat_identical,ctrl_flow_noise,zeros_over_noise,inbatch_baseline_vs_B1,delta_norm_rel_err,baseline_action_absmean,episode,spearman_U_S,pearson_U_S,spearman_Umse_S,top_quartile_overlap_U_S,frac_highU_highS,frac_highU_lowS,frac_lowU_highS,spearman_U_tokennorm,spearman_S_tokennorm,U_snr_over_render_floor,E_action_total,errdev_sum,superposition_ratio,flow_noise_scale,U_global,U_trivial_h_t,eef_displacement,spearman_U_only_mse,auroc_U_only_mse,auprc_U_only_mse,spearman_U_only_l2,auroc_U_only_l2,auprc_U_only_l2,spearman_U_only_cos,auroc_U_only_cos,auprc_U_only_cos,spearman_S_only,auroc_S_only,auprc_S_only,spearman_R_mul_U_l2_S,auroc_R_mul_U_l2_S,auprc_R_mul_U_l2_S,spearman_R_mul_U_mse_S,auroc_R_mul_U_mse_S,auprc_R_mul_U_mse_S,spearman_attention_only,auroc_attention_only,auprc_attention_only,spearman_attention_x_U_l2,auroc_attention_x_U_l2,auprc_attention_x_U_l2,spearman_attention_x_S,auroc_attention_x_S,auprc_attention_x_S,eef_treatment_m,eef_nuisance_m,eef_topU_vs_pred_m,eef_topUS_vs_pred_m,eef_topU_residual_to_real_m,eef_topUS_residual_to_real_m,obj_treatment_m,eef_displacement_of_chunk_m,token_budget,overlap_topU_topUS,gripper_cmd_differs,U_mse_global,U_floor_render_mse_global,U_trivial_h_t_mse_global,E_action_total_l2,errdev_sum_over_tokens_l2,superposition_ratio_sum_over_total
libero_goal_t08_ep000_s0016_approach,libero_goal,8,approach,0,16,8.349223207915202e-06,0.0001114903534471523,0.0004128553264308721,1.9849277066441573e-07,2.59537100646412e-05,13.353380388903437,49.4483528137207,0.6874005857346949,6.779569048376288e-06,0.00033523852471262217,0.001130750053562224,0.28113940358161926,0.005395050160586834,0.9986932078278782,0.9961196784161135,0.9155181868467231,2.9736865817113944,3.5430372965086194,0.06072021195119135,0.0694641238967911,0.008298796641259425,2.6862297213687726e-08,0.0005372125145787479,0.0,0.00457343204976385,13.276727693882902,3.5762786865234375e-07,3.3783296826683795e-07,0.21762511134147644,libero_goal_0,0.15025678072785534,0.0905614050584352,0.15025678072785534,1.25,0.078125,0.05859375,0.0546875,-0.46223249027237356,-0.4752546349279011,9.730426489540617,0.01835057218864343,0.06728883599169384,3.666852199482734,0.00457343204976385,0.09581349047879975,0.1734527324529521,0.07777240585465724,0.29772402151522087,0.6464029947916666,0.3644623563635129,0.29772402151522087,0.6464029947916666,0.3644623563635129,0.30146558136873425,0.6481119791666666,0.3697635364185575,0.8665183680476082,0.9267578125,0.8609004576613226,0.8817778667887388,0.937255859375,0.8731385565859339,0.8763361181048295,0.934326171875,0.8452271492696433,0.1310718986037995,0.6048177083333334,0.3518535413343188,0.2665412565804532,0.6790364583333334,0.39180870912640875,0.8103885328450446,0.8951009114583334,0.8055819497319372,0.002750834502510074,0.0006345737493532411,0.0025701333227067043,0.002139953282659866,0.00035795501188019656,0.0007343064624181118,0.0,0.08748832102533402,64,27,False,0.09581349047879975,0.009846792477804416,0.1734527324529521,0.01835057218864343,0.06728883599169384,3.666852199482734
libero_goal_t08_ep000_s0032_pre_grasp,libero_goal,8,pre_grasp,0,32,1.0802788892760873e-05,6.737086550856475e-05,0.00015816021186765283,2.9989743666192226e-07,2.0142550056334585e-05,6.236432663579224,14.6406831741333,0.5816922846980457,8.771865395829082e-06,0.00012842607975471765,0.00046498863957822323,0.1104523167014122,0.0041870721615850925,0.9978928244449531,0.9945897230487526,0.891179331654841,2.974200961726948,3.5227613058702634,0.0067657826429357555,0.007466106965835202,0.0019192282081090142,2.7680420432058217e-08,0.0002975922618731693,0.0,0.004497670297317969,1.5042860404797338,3.5762786865234375e-07,3.3783296826683795e-07,0.22052398324012756,libero_goal_0,0.06880436026550699,0.07451149565010841,0.06880436026550699,1.3125,0.08203125,0.046875,0.0625,-0.5329280155642023,-0.3297915712977798,27.285205346603867,0.005612035891754933,0.04526733166958802,8.066115852197894,0.004497670297317969,0.09123426356519959,0.12467923951564794,0.07906674189409853,0.2715567063401236,0.6371256510416666,0.38263125829185907,0.2715567063401236,0.6371256510416666,0.38263125829185907,0.27237711718928814,0.6377766927083334,0.38392931425216015,0.8543888761730373,0.918701171875,0.8395120170993943,0.8857547493705653,0.9309895833333334,0.8508942105947853,0.8689016365300984,0.9154459635416666,0.7968919482354906,0.058754148546578164,0.6123046875,0.33626455821824197,0.21003233005264363,0.6883138020833334,0.4268489555399949,0.770992360952163,0.8924153645833334,0.7931802992997645,0.0009632085803295537,0.0005400006390338983,0.0008740054326749925,0.0006357976761575275,0.00019493159687467934,0.00038250968784708084,0.0,0.08624676516583149,64,27,False,0.09123426356519959,0.0033437264796103826,0.12467923951564794,0.005612035891754933,0.04526733166958802,8.066115852197894
libero_goal_t08_ep000_s0056_manipulation,libero_goal,8,manipulation,0,56,8.889977834769525e-06,6.823272087785881e-05,0.0001382895279675722,1.4321319952159683e-07,1.7869977455120534e-05,7.675240832546773,15.555665969848633,0.6113519461867178,7.218661266961135e-06,0.00011229109804844484,0.0004043507797177881,0.08879788964986801,0.0037146680988371372,0.9977705138475623,0.9934488727397573,0.8893506332494088,2.9316797852924346,3.478982134980389,0.0064975049487198105,0.0050821241573097194,0.0013680177052885895,4.217348321822069e-08,0.00031149420875199377,0.0,0.004665331157113836,1.3927210587853387,4.76837158203125e-07,3.3783296826683795e-07,0.43397262692451477,libero_goal_0,-0.16669789997711146,-0.0318990259748083,-0.16669789997711146,1.0625,0.06640625,0.08203125,0.08203125,-0.5137209601739529,-0.2673824101625086,39.63464387457201,0.006618093595810767,0.04221106315338837,6.378130279104521,0.004665331157113836,0.10273472917614435,0.08884584502208606,0.09221926727495605,0.0775256065461204,0.55615234375,0.31859670721319916,0.0775256065461204,0.55615234375,0.31859670721319916,0.08047035934996567,0.5574544270833334,0.3247466853660352,0.7857440203707943,0.8728841145833334,0.6929150896340781,0.8156993877317464,0.8851725260416666,0.7055557087802697,0.8068672751201648,0.8793131510416666,0.6880571533397352,0.2071562428473335,0.61083984375,0.3180191228978621,0.23843914511329825,0.6473795572916666,0.33243857641250374,0.7403710803387503,0.85107421875,0.6393943441912551,0.0010032450420588775,0.0004264379229945721,0.000919380507205035,0.0007259785608993924,0.0001369308962622199,0.00031376166844542387,0.0010379220546005846,0.10413200468918517,64,24,False,0.10273472917614435,0.002592043706625252,0.08884584502208606,0.006618093595810767,0.04221106315338837,6.378130279104521
libero_goal_t08_ep001_s0016_approach,libero_goal,8,approach,1,16,6.158399628475308e-06,0.00010101780753757339,0.0001795185962691903,2.2316709191727568e-07,2.067481545964256e-05,16.4032563054995,29.15020179748535,0.6927410170973004,5.000620149075985e-06,0.00014576909597963095,0.0004830694815609604,0.09263519197702408,0.004297715611755848,0.9982390135042344,0.9967205024032959,0.914723287174792,2.9278950343947465,3.4334476784170347,0.04723069810694924,0.04756972184973586,0.00458323116636218,2.5261856596952014e-08,0.0003434078597697096,0.0,0.0041453251042532155,11.3937259247747,7.152557373046875e-07,3.219970476919798e-07,0.2054084986448288,libero_goal_1,-0.04421492332341497,-0.03831410494101098,-0.04421492332341497,0.9375,0.05859375,0.0703125,0.0703125,-0.3679038395513848,-0.46931506065461204,10.926221849050977,0.004890246823997192,0.04272229048855884,8.736223758464298,0.0041453251042532155,0.09371430992496471,0.18555574129240798,0.07581440510126979,0.10238970588235294,0.563720703125,0.2910713480407302,0.10238970588235294,0.563720703125,0.2910713480407302,0.10728356031128404,0.566162109375,0.29372098568028704,0.8803616388189517,0.93359375,0.8615684989720303,0.8937986381322958,0.9423828125,0.8688268466113704,0.8806069752803846,0.9384765625,0.8399833183195802,0.2816269455252918,0.7093912760416666,0.43158368034118555,0.3255865186541543,0.7350260416666666,0.4445691091031799,0.843316548409247,0.93017578125,0.8565661248601957,0.00081420022505879,0.00038421672923694676,0.0007996683362686445,0.00044795746571409974,8.089514981315069e-05,0.00037706986080793546,0.0,0.08508480685427182,64,20,False,0.09371430992496471,0.008577009611378725,0.18555574129240798,0.004890246823997192,0.04272229048855884,8.736223758464298
libero_goal_t08_ep001_s0032_pre_grasp,libero_goal,8,pre_grasp,1,32,1.1560568964341655e-05,7.79837355366908e-05,0.00015695231559220701,1.8047769856366358e-07,2.127555308106821e-05,6.745665873127013,13.576521873474121,0.5914177436137045,9.387182217324153e-06,0.00012744525156449527,0.0004233304352965206,0.09365236759185791,0.004422591533511877,0.9982382982375829,0.993037594415198,0.8924289024948502,2.964815913026527,3.5236421004035052,0.13243713070464214,0.13276954616989103,0.0015998792106665678,3.4441850785328804e-08,0.0003957888324504933,0.0,0.0052489267192487735,25.23127827617996,7.152557373046875e-07,3.3783296826683795e-07,0.235702782869339,libero_goal_1,-0.033726253147173264,0.0024206451776696103,-0.033726253147173264,1.0625,0.06640625,0.05859375,0.06640625,-0.49576347562371254,-0.30099636644541083,28.721786477117224,0.00620524170071796,0.04801719965744956,7.738167499888661,0.0052489267192487735,0.08344011030521459,0.09589813613516478,0.07303596525928173,0.1716604200045777,0.6277669270833334,0.386492881179955,0.1716604200045777,0.6277669270833334,0.386492881179955,0.17289997711146715,0.628662109375,0.389724998454229,0.8310904955367361,0.90234375,0.7633875947445431,0.8599486438544289,0.9217936197916666,0.8047276197599602,0.8499170290684367,0.9188639322916666,0.7873511201520481,0.060063086518654156,0.57421875,0.32557470818598294,0.13593428130006865,0.626708984375,0.36742340994211775,0.7479493305104142,0.8636881510416666,0.6932738547661992,0.0005718705704996262,0.000378071019019377,0.00016130792705134776,0.000676903176852977,0.0004283272175335812,0.0002490666215621311,0.00010107238636170708,0.07632086242983267,64,23,False,0.08344011030521459,0.0029051156012266355,0.09589813613516478,0.00620524170071796,0.04801719965744956,7.738167499888661
libero_goal_t08_ep001_s0056_manipulation,libero_goal,8,manipulation,1,56,1.0074181773234159e-05,8.28984848340042e-05,0.00019236317893955857,3.944169293390587e-07,2.0185851099085994e-05,8.228805743237142,19.094669342041016,0.6072387943729353,8.180235454346985e-06,0.00015619890473317355,0.0004798653826583177,0.11791673302650452,0.004196072928607464,0.9982561799038682,0.9956125543602655,0.8982599946593424,2.9672521387157706,3.541300761293635,0.004905832176337881,0.002434311525667755,0.0012286003296709449,4.317540110944796e-08,0.0003470621867286895,0.0,0.004674292898518877,1.0495346104417997,7.152557373046875e-07,3.3783296826683795e-07,0.3986853063106537,libero_goal_1,-0.07086790455481803,-0.0794140752018464,-0.07086790455481803,1.125,0.0703125,0.07421875,0.07421875,-0.545771343556878,-0.3283002403295949,13.069229046125372,0.008429605168317882,0.0583899507908389,6.926771731882971,0.004674292898518877,0.09372874150351909,0.08898652175499298,0.08725663651925591,0.15291614213778898,0.630615234375,0.3844223299038133,0.15291614213778898,0.630615234375,0.3844223299038133,0.1548366330968185,0.63134765625,0.38761832154774406,0.8112203879606317,0.8721516927083334,0.7281572934006353,0.8402609292744335,0.89404296875,0.7871276731585438,0.8285892080567636,0.8951009114583334,0.7877086933231978,0.16677085717555504,0.6205240885416666,0.31927141648088275,0.2575539311055161,0.70068359375,0.3680728815402652,0.7691512645914397,0.8560384114583334,0.6909393160233538,0.0013424514017639246,0.0002955758857013043,0.0012263285239786069,0.001241293293265467,0.0001552577784159117,0.00031055831167595463,0.0013602287961558812,0.09685065430968343,64,25,False,0.09372874150351909,0.007171711563949472,0.08898652175499298,0.008429605168317882,0.0583899507908389,6.926771731882971
libero_goal_t08_ep002_s0016_approach,libero_goal,8,approach,2,16,8.012175385374576e-06,9.946690624929033e-05,0.0002596355916466564,1.26129009458964e-07,2.3137237803894095e-05,12.414469412496539,32.40513229370117,0.6601515196184017,6.505886176455533e-06,0.00021082408784423023,0.0007687311735935509,0.1833251267671585,0.004809584002941847,0.9975366216525521,0.995906528953994,0.9076447699702448,2.9716174545060916,3.559649175896613,0.04937298898053426,0.05735399448281853,0.006055119271347337,2.951542508151829e-08,0.0006859098882104094,0.0,0.004729803374572544,10.438697990272447,4.76837158203125e-07,3.3783296826683795e-07,0.22426457703113556,libero_goal_2,0.1914024948500801,0.18142166997625206,0.1914024948500801,1.5625,0.09765625,0.046875,0.05078125,-0.5630178530556191,-0.5060897802700847,10.731214881343044,0.018157912875418968,0.07430919810270992,4.09238653211653,0.004729803374572544,0.10036110081274334,0.17910071107393138,0.07916799021288169,0.3794482433051041,0.7369791666666666,0.5197056875926429,0.3794482433051041,0.7369791666666666,0.5197056875926429,0.3822427901121538,0.738037109375,0.5230530353585864,0.8792651350423438,0.93115234375,0.8722734950417373,0.9097455081254292,0.956787109375,0.9004712817697078,0.9075796807049669,0.9600423177083334,0.8766642719476709,0.17003891050583658,0.5856119791666666,0.2992678948074169,0.39000200274662394,0.7284342447916666,0.40896269873910174,0.8182629034103914,0.888916015625,0.7768805788855784,0.0032873607608728383,0.0006947018396536675,0.0035124553050293193,0.0030810269241497486,0.0005191696310600844,0.00024528848237763846,0.0,0.08861909675249043,64,31,False,0.10036110081274334,0.009352259012304196,0.17910071107393138,0.018157912875418968,0.07430919810270992,4.09238653211653
libero_goal_t08_ep002_s0032_pre_grasp,libero_goal,8,pre_grasp,2,32,1.1549836926860735e-05,7.025017293926794e-05,0.00022353608801495284,9.472861961512535e-08,2.133189991582185e-05,6.082351931384546,19.354047775268555,0.58592791697384,9.378467439091764e-06,0.00018151129188481718,0.0005669274250976741,0.14880424737930298,0.004434305243194103,0.9971217669947356,0.9932629034103914,0.8801718547341116,2.9778298257193754,3.4608591974308505,0.007017918667076569,0.004963222906061436,0.0016484719036564083,3.494210989108778e-08,0.00027529300272868985,0.0,0.005264589572352586,1.3330419343478799,3.5762786865234375e-07,3.219970476919798e-07,0.20470844209194183,libero_goal_2,0.07179846646829938,0.062206989456597944,0.07179846646829938,1.125,0.0703125,0.0625,0.0546875,-0.4826898317692836,-0.37487339780270085,17.191160497815392,0.004278464222976365,0.04809086448618244,11.240216577696998,0.005264589572352586,0.09181888159629101,0.1259395502209033,0.07320047536729986,0.24642152094300757,0.6466471354166666,0.3513382733531554,0.24642152094300757,0.6466471354166666,0.3513382733531554,0.24918388075074388,0.6485188802083334,0.3617666185480956,0.8525298981460289,0.913818359375,0.7781950170294901,0.8754477569237812,0.9253743489583334,0.8317119267495919,0.864563544289311,0.917724609375,0.8084899827944696,0.1116481174181735,0.5955403645833334,0.3108724773062989,0.206586890592813,0.6671549479166666,0.3718870015354254,0.7930046921492332,0.8849283854166666,0.7296335877649435,0.0008195267208426941,0.0006930773421730657,0.0007802478250454862,0.000784853516669261,0.0009311946272115993,0.00041548034526095863,0.0,0.07950081207544865,64,26,False,0.09181888159629101,0.0053410519475114325,0.1259395502209033,0.004278464222976365,0.04809086448618244,11.240216577696998
libero_goal_t08_ep002_s0056_manipulation,libero_goal,8,manipulation,2,56,8.518433787685353e-06,6.239852336875629e-05,0.00011254731361987069,2.990265954849747e-07,1.713916026346851e-05,7.325116908106102,13.212207794189453,0.5902022271442438,6.916968231962528e-06,9.138841414824128e-05,0.0002986266335938126,0.0646858736872673,0.0035627514589577913,0.9979493305104142,0.9945303559166857,0.9028033684290837,2.948443804338582,3.43975370883329,0.007250116156133023,0.005944545772784368,0.0014031319926982332,4.4479968670784974e-08,0.000348601073162259,0.0,0.004440659028772236,1.6326667076119898,4.76837158203125e-07,3.3783296826683795e-07,0.4179815649986267,libero_goal_2,-0.12337705996795606,-0.06642616430772984,-0.12337705996795606,0.875,0.0546875,0.05078125,0.11328125,-0.5725895513847562,-0.2827742332341497,31.647291691714685,0.007159212581330871,0.04522455115698689,6.316972801578664,0.004440659028772236,0.11319746952818599,0.07251918696873687,0.09006839058887046,0.18577549210345617,0.6360677083333334,0.4001613340487045,0.18577549210345617,0.6360677083333334,0.4001613340487045,0.1875271801327535,0.636962890625,0.40299186137212795,0.7718249313344014,0.87255859375,0.6906845284104011,0.8267588406958114,0.9105631510416666,0.7772558583377539,0.8199645227740902,0.9073893229166666,0.7696829480965635,0.28941119249256125,0.6944986979166666,0.37521919253013636,0.3982354371709773,0.7666015625,0.44062769013711145,0.7374220359349966,0.8690592447916666,0.6718408257741926,0.00091010572679691,0.0003893680525983629,0.000560148938767865,0.0005626121672320772,0.0004687993386252052,0.00038521364311833753,0.0008755539374385012,0.1000949295289387,64,25,False,0.11319746952818599,0.003576845408982023,0.07251918696873687,0.007159212581330871,0.04522455115698689,6.316972801578664
libero_goal_t08_ep003_s0016_approach,libero_goal,8,approach,3,16,6.7309597397979815e-06,7.914044181234203e-05,0.0001810825924621895,1.5305249689845368e-07,1.9635665012174286e-05,11.757675706245912,26.902938842773438,0.6817935286359952,5.465540198201779e-06,0.00014703907072544098,0.000510380370542407,0.1110537126660347,0.0040817055851221085,0.9980737869077592,0.9962534332799268,0.9232893205920502,2.912129727626905,3.474611433792085,0.04462231267615333,0.043981768897762855,0.0036718917084345892,3.219467777282671e-08,0.00038928290602063516,0.0,0.004404553196664852,10.130951014495988,4.76837158203125e-07,3.3783296826683795e-07,0.22051285207271576,libero_goal_3,0.09163710231174181,0.06894662176845918,0.09163710231174181,1.0625,0.06640625,0.07421875,0.05078125,-0.46701261730373084,-0.39151050011444266,9.239392712174874,0.01037164812430302,0.05707275447635911,5.5027661748980154,0.004404553196664852,0.09361344223594661,0.1832014299867741,0.08053181473167076,0.2719808594644083,0.6650390625,0.3767452881280706,0.2719808594644083,0.6650390625,0.3767452881280706,0.2744935912108034,0.66650390625,0.37823135855123224,0.8563122281986725,0.9342447916666666,0.8498429351839493,0.8791993305104143,0.9498697916666666,0.8740848731266794,0.8768160620279241,0.9527994791666666,0.8605629912614506,0.2390621423666743,0.6875,0.4119379362281952,0.3409912165255207,0.7518717447916666,0.4889370485594447,0.8372296292057679,0.9345703125,0.8379362505333295,0.0014873829606416144,0.0004563186398721291,0.0011227319320455521,0.0012969894827224674,0.0004981890211731104,0.00020503632114170486,0.0,0.09060028960348003,64,23,False,0.09361344223594661,0.01013199071725631,0.1832014299867741,0.01037164812430302,0.05707275447635911,5.5027661748980154
