state_id,suite,phase,episode,spearman_U_S,pearson_U_S,spearman_Umse_S,top_quartile_overlap_U_S,frac_highU_highS,frac_highU_lowS,frac_lowU_highS,spearman_U_tokennorm,spearman_S_tokennorm,U_snr_over_render_floor,E_action_total,errdev_sum,superposition_ratio,flow_noise_scale,ctrl_zeros,U_global,U_trivial_h_t,eef_displacement,spearman_U_only_mse,auroc_U_only_mse,auprc_U_only_mse,spearman_U_only_l2,auroc_U_only_l2,auprc_U_only_l2,spearman_U_only_cos,auroc_U_only_cos,auprc_U_only_cos,spearman_S_only,auroc_S_only,auprc_S_only,spearman_R_mul_U_l2_S,auroc_R_mul_U_l2_S,auprc_R_mul_U_l2_S,spearman_R_mul_U_mse_S,auroc_R_mul_U_mse_S,auprc_R_mul_U_mse_S,spearman_attention_only,auroc_attention_only,auprc_attention_only,spearman_attention_x_U_l2,auroc_attention_x_U_l2,auprc_attention_x_U_l2,spearman_attention_x_S,auroc_attention_x_S,auprc_attention_x_S
libero_goal_t08_ep000_s0016_approach,libero_goal,approach,libero_goal_0,0.15025678072785534,0.0905614050584352,0.15025678072785534,1.25,0.078125,0.05859375,0.0546875,-0.46223249027237356,-0.4752546349279011,9.730426489540617,0.01835057218864343,0.06728883599169384,3.666852199482734,0.00457343204976385,0.06072021195119135,0.09581349047879975,0.1734527324529521,0.07777240585465724,0.29772402151522087,0.6464029947916666,0.3644623563635129,0.29772402151522087,0.6464029947916666,0.3644623563635129,0.30146558136873425,0.6481119791666666,0.3697635364185575,0.8665183680476082,0.9267578125,0.8609004576613226,0.8817778667887388,0.937255859375,0.8731385565859339,0.8763361181048295,0.934326171875,0.8452271492696433,0.1310718986037995,0.6048177083333334,0.3518535413343188,0.2665412565804532,0.6790364583333334,0.39180870912640875,0.8103885328450446,0.8951009114583334,0.8055819497319372
libero_goal_t08_ep000_s0032_pre_grasp,libero_goal,pre_grasp,libero_goal_0,0.06880436026550699,0.07451149565010841,0.06880436026550699,1.3125,0.08203125,0.046875,0.0625,-0.5329280155642023,-0.3297915712977798,27.285205346603867,0.005612035891754933,0.04526733166958802,8.066115852197894,0.004497670297317969,0.0067657826429357555,0.09123426356519959,0.12467923951564794,0.07906674189409853,0.2715567063401236,0.6371256510416666,0.38263125829185907,0.2715567063401236,0.6371256510416666,0.38263125829185907,0.27237711718928814,0.6377766927083334,0.38392931425216015,0.8543888761730373,0.918701171875,0.8395120170993943,0.8857547493705653,0.9309895833333334,0.8508942105947853,0.8689016365300984,0.9154459635416666,0.7968919482354906,0.058754148546578164,0.6123046875,0.33626455821824197,0.21003233005264363,0.6883138020833334,0.4268489555399949,0.770992360952163,0.8924153645833334,0.7931802992997645
libero_goal_t08_ep000_s0056_manipulation,libero_goal,manipulation,libero_goal_0,-0.16669789997711146,-0.0318990259748083,-0.16669789997711146,1.0625,0.06640625,0.08203125,0.08203125,-0.5137209601739529,-0.2673824101625086,39.63464387457201,0.006618093595810767,0.04221106315338837,6.378130279104521,0.004665331157113836,0.0064975049487198105,0.10273472917614435,0.08884584502208606,0.09221926727495605,0.0775256065461204,0.55615234375,0.31859670721319916,0.0775256065461204,0.55615234375,0.31859670721319916,0.08047035934996567,0.5574544270833334,0.3247466853660352,0.7857440203707943,0.8728841145833334,0.6929150896340781,0.8156993877317464,0.8851725260416666,0.7055557087802697,0.8068672751201648,0.8793131510416666,0.6880571533397352,0.2071562428473335,0.61083984375,0.3180191228978621,0.23843914511329825,0.6473795572916666,0.33243857641250374,0.7403710803387503,0.85107421875,0.6393943441912551
libero_goal_t08_ep001_s0016_approach,libero_goal,approach,libero_goal_1,-0.04421492332341497,-0.03831410494101098,-0.04421492332341497,0.9375,0.05859375,0.0703125,0.0703125,-0.3679038395513848,-0.46931506065461204,10.926221849050977,0.004890246823997192,0.04272229048855884,8.736223758464298,0.0041453251042532155,0.04723069810694924,0.09371430992496471,0.18555574129240798,0.07581440510126979,0.10238970588235294,0.563720703125,0.2910713480407302,0.10238970588235294,0.563720703125,0.2910713480407302,0.10728356031128404,0.566162109375,0.29372098568028704,0.8803616388189517,0.93359375,0.8615684989720303,0.8937986381322958,0.9423828125,0.8688268466113704,0.8806069752803846,0.9384765625,0.8399833183195802,0.2816269455252918,0.7093912760416666,0.43158368034118555,0.3255865186541543,0.7350260416666666,0.4445691091031799,0.843316548409247,0.93017578125,0.8565661248601957
libero_goal_t08_ep001_s0032_pre_grasp,libero_goal,pre_grasp,libero_goal_1,-0.033726253147173264,0.0024206451776696103,-0.033726253147173264,1.0625,0.06640625,0.05859375,0.06640625,-0.49576347562371254,-0.30099636644541083,28.721786477117224,0.00620524170071796,0.04801719965744956,7.738167499888661,0.0052489267192487735,0.13243713070464214,0.08344011030521459,0.09589813613516478,0.07303596525928173,0.1716604200045777,0.6277669270833334,0.386492881179955,0.1716604200045777,0.6277669270833334,0.386492881179955,0.17289997711146715,0.628662109375,0.389724998454229,0.8310904955367361,0.90234375,0.7633875947445431,0.8599486438544289,0.9217936197916666,0.8047276197599602,0.8499170290684367,0.9188639322916666,0.7873511201520481,0.060063086518654156,0.57421875,0.32557470818598294,0.13593428130006865,0.626708984375,0.36742340994211775,0.7479493305104142,0.8636881510416666,0.6932738547661992
libero_goal_t08_ep001_s0056_manipulation,libero_goal,manipulation,libero_goal_1,-0.07086790455481803,-0.0794140752018464,-0.07086790455481803,1.125,0.0703125,0.07421875,0.07421875,-0.545771343556878,-0.3283002403295949,13.069229046125372,0.008429605168317882,0.0583899507908389,6.926771731882971,0.004674292898518877,0.004905832176337881,0.09372874150351909,0.08898652175499298,0.08725663651925591,0.15291614213778898,0.630615234375,0.3844223299038133,0.15291614213778898,0.630615234375,0.3844223299038133,0.1548366330968185,0.63134765625,0.38761832154774406,0.8112203879606317,0.8721516927083334,0.7281572934006353,0.8402609292744335,0.89404296875,0.7871276731585438,0.8285892080567636,0.8951009114583334,0.7877086933231978,0.16677085717555504,0.6205240885416666,0.31927141648088275,0.2575539311055161,0.70068359375,0.3680728815402652,0.7691512645914397,0.8560384114583334,0.6909393160233538
libero_goal_t08_ep002_s0016_approach,libero_goal,approach,libero_goal_2,0.1914024948500801,0.18142166997625206,0.1914024948500801,1.5625,0.09765625,0.046875,0.05078125,-0.5630178530556191,-0.5060897802700847,10.731214881343044,0.018157912875418968,0.07430919810270992,4.09238653211653,0.004729803374572544,0.04937298898053426,0.10036110081274334,0.17910071107393138,0.07916799021288169,0.3794482433051041,0.7369791666666666,0.5197056875926429,0.3794482433051041,0.7369791666666666,0.5197056875926429,0.3822427901121538,0.738037109375,0.5230530353585864,0.8792651350423438,0.93115234375,0.8722734950417373,0.9097455081254292,0.956787109375,0.9004712817697078,0.9075796807049669,0.9600423177083334,0.8766642719476709,0.17003891050583658,0.5856119791666666,0.2992678948074169,0.39000200274662394,0.7284342447916666,0.40896269873910174,0.8182629034103914,0.888916015625,0.7768805788855784
libero_goal_t08_ep002_s0032_pre_grasp,libero_goal,pre_grasp,libero_goal_2,0.07179846646829938,0.062206989456597944,0.07179846646829938,1.125,0.0703125,0.0625,0.0546875,-0.4826898317692836,-0.37487339780270085,17.191160497815392,0.004278464222976365,0.04809086448618244,11.240216577696998,0.005264589572352586,0.007017918667076569,0.09181888159629101,0.1259395502209033,0.07320047536729986,0.24642152094300757,0.6466471354166666,0.3513382733531554,0.24642152094300757,0.6466471354166666,0.3513382733531554,0.24918388075074388,0.6485188802083334,0.3617666185480956,0.8525298981460289,0.913818359375,0.7781950170294901,0.8754477569237812,0.9253743489583334,0.8317119267495919,0.864563544289311,0.917724609375,0.8084899827944696,0.1116481174181735,0.5955403645833334,0.3108724773062989,0.206586890592813,0.6671549479166666,0.3718870015354254,0.7930046921492332,0.8849283854166666,0.7296335877649435
libero_goal_t08_ep002_s0056_manipulation,libero_goal,manipulation,libero_goal_2,-0.12337705996795606,-0.06642616430772984,-0.12337705996795606,0.875,0.0546875,0.05078125,0.11328125,-0.5725895513847562,-0.2827742332341497,31.647291691714685,0.007159212581330871,0.04522455115698689,6.316972801578664,0.004440659028772236,0.007250116156133023,0.11319746952818599,0.07251918696873687,0.09006839058887046,0.18577549210345617,0.6360677083333334,0.4001613340487045,0.18577549210345617,0.6360677083333334,0.4001613340487045,0.1875271801327535,0.636962890625,0.40299186137212795,0.7718249313344014,0.87255859375,0.6906845284104011,0.8267588406958114,0.9105631510416666,0.7772558583377539,0.8199645227740902,0.9073893229166666,0.7696829480965635,0.28941119249256125,0.6944986979166666,0.37521919253013636,0.3982354371709773,0.7666015625,0.44062769013711145,0.7374220359349966,0.8690592447916666,0.6718408257741926
libero_goal_t08_ep003_s0016_approach,libero_goal,approach,libero_goal_3,0.09163710231174181,0.06894662176845918,0.09163710231174181,1.0625,0.06640625,0.07421875,0.05078125,-0.46701261730373084,-0.39151050011444266,9.239392712174874,0.01037164812430302,0.05707275447635911,5.5027661748980154,0.004404553196664852,0.04462231267615333,0.09361344223594661,0.1832014299867741,0.08053181473167076,0.2719808594644083,0.6650390625,0.3767452881280706,0.2719808594644083,0.6650390625,0.3767452881280706,0.2744935912108034,0.66650390625,0.37823135855123224,0.8563122281986725,0.9342447916666666,0.8498429351839493,0.8791993305104143,0.9498697916666666,0.8740848731266794,0.8768160620279241,0.9527994791666666,0.8605629912614506,0.2390621423666743,0.6875,0.4119379362281952,0.3409912165255207,0.7518717447916666,0.4889370485594447,0.8372296292057679,0.9345703125,0.8379362505333295
