auroc_top_quartile,episode,log_mae,log_rmse,ndcg64,pearson,phase,predictor,spearman,split,state_id,suite,task_id,top64_precision,top64_recall
0.9407552083333334,libero_goal_t5_ep3,,,0.9073782678238166,0.8346167505715807,approach,B2_change_norm,0.9093506809338522,testB2,libero_goal_t05_ep003_s0088_approach,libero_goal,5,0.765625,0.765625
0.9415690104166666,libero_goal_t5_ep3,,,0.9074027541405613,0.7569876570382823,approach,B3_cos_dist,0.9100902666514077,testB2,libero_goal_t05_ep003_s0088_approach,libero_goal,5,0.765625,0.765625
0.927001953125,libero_goal_t5_ep3,,,0.8613884943233379,0.7884679628028984,approach,B4_linear_stats,0.8972412165255207,testB2,libero_goal_t05_ep003_s0088_approach,libero_goal,5,0.78125,0.78125
0.9497884114583334,libero_goal_t5_ep4,0.15359973633072085,0.19692719182375357,0.9357399672780133,0.8053637981292648,approach,U_hat_mlp,0.8392223620965896,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.78125,0.78125
0.5188802083333334,libero_goal_t5_ep4,,,0.5997269516192184,-0.03406543655330601,approach,B0_random,-0.08245093270771343,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.234375,0.234375
0.508544921875,libero_goal_t5_ep4,,,0.5712081481525838,0.016649274204881846,approach,B0x_token_index,0.0008554589150835431,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.171875,0.171875
0.8917643229166666,libero_goal_t5_ep4,,,0.9084580753921229,0.7126046930478777,approach,B1_pred_norm_neg,0.6557042515449759,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.734375,0.734375
0.935302734375,libero_goal_t5_ep4,,,0.8733488561771015,0.7376821403778695,approach,B2_change_norm,0.8992675669489586,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.78125,0.78125
0.9356282552083334,libero_goal_t5_ep4,,,0.8735573629875685,0.6158622366060071,approach,B3_cos_dist,0.8998254749370566,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.78125,0.78125
0.9413248697916666,libero_goal_t5_ep4,,,0.913179834699481,0.8385264137585052,approach,B4_linear_stats,0.9162308308537422,testB2,libero_goal_t05_ep004_s0048_approach,libero_goal,5,0.75,0.75
0.89306640625,libero_goal_t5_ep5,0.13734865041760289,0.18522784868019965,0.9088488588885979,0.7681314936584255,approach,U_hat_mlp,0.8352748054474708,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.703125,0.703125
0.4886881510416667,libero_goal_t5_ep5,,,0.6112551844691355,-0.022003903953697737,approach,B0_random,-0.030712834744792857,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.21875,0.21875
0.45166015625,libero_goal_t5_ep5,,,0.5750505847790549,-0.09609630055095256,approach,B0x_token_index,-0.1378261615930419,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.109375,0.109375
0.8798828125,libero_goal_t5_ep5,,,0.9118300217542188,0.7285331850362021,approach,B1_pred_norm_neg,0.6778882467383841,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.71875,0.71875
0.895263671875,libero_goal_t5_ep5,,,0.843401134305788,0.6708338819046796,approach,B2_change_norm,0.8561155298695353,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.65625,0.65625
0.8964029947916666,libero_goal_t5_ep5,,,0.8469373082414197,0.5937929328779706,approach,B3_cos_dist,0.8568744277866789,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.671875,0.671875
0.9182942708333334,libero_goal_t5_ep5,,,0.9019592446223825,0.7816392001792285,approach,B4_linear_stats,0.8750779640650035,testB2,libero_goal_t05_ep005_s0032_approach,libero_goal,5,0.703125,0.703125
0.9022623697916666,libero_goal_t5_ep6,0.12080803497422024,0.16132952754075067,0.9087383560214668,0.7642636152796174,approach,U_hat_mlp,0.8135092412451362,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.6875,0.6875
0.509765625,libero_goal_t5_ep6,,,0.6803608665962266,0.10574996457546913,approach,B0_random,0.08533417257953765,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.203125,0.203125
0.383056640625,libero_goal_t5_ep6,,,0.6590323453566357,-0.12389466289547953,approach,B0x_token_index,-0.15079036964980544,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.171875,0.171875
0.739501953125,libero_goal_t5_ep6,,,0.8464742147706316,0.4985728177061355,approach,B1_pred_norm_neg,0.5143840123598077,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.578125,0.578125
0.8955891927083334,libero_goal_t5_ep6,,,0.8497411325653021,0.6043372884857825,approach,B2_change_norm,0.8006609063859007,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.625,0.625
0.8948567708333334,libero_goal_t5_ep6,,,0.8519343289952162,0.5222125751503335,approach,B3_cos_dist,0.8000536449988556,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.625,0.625
0.8727213541666666,libero_goal_t5_ep6,,,0.8439789313184771,0.6947984336728549,approach,B4_linear_stats,0.782620450904097,testB2,libero_goal_t05_ep006_s0024_approach,libero_goal,5,0.625,0.625
0.9305013020833334,libero_goal_t5_ep7,0.11358772343214708,0.15449893186063315,0.9284684603499512,0.80792362534555,approach,U_hat_mlp,0.8412959201190203,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.765625,0.765625
0.4720052083333333,libero_goal_t5_ep7,,,0.6670328283709824,0.02290623178855818,approach,B0_random,-0.0021007381551842526,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.28125,0.28125
0.38232421875,libero_goal_t5_ep7,,,0.6102891549776188,-0.17871244088917537,approach,B0x_token_index,-0.2128290226596475,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.171875,0.171875
0.8218587239583334,libero_goal_t5_ep7,,,0.9001589614371089,0.6364919980805545,approach,B1_pred_norm_neg,0.5735258354314489,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.640625,0.640625
0.9144694010416666,libero_goal_t5_ep7,,,0.8557453535798063,0.6933914300189424,approach,B2_change_norm,0.8383661879148546,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.671875,0.671875
0.9148763020833334,libero_goal_t5_ep7,,,0.8558477980175003,0.6262445053967729,approach,B3_cos_dist,0.8386937800411993,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.671875,0.671875
0.9192708333333334,libero_goal_t5_ep7,,,0.8988259151602026,0.774170659589681,approach,B4_linear_stats,0.8432907988097963,testB2,libero_goal_t05_ep007_s0024_approach,libero_goal,5,0.671875,0.671875
0.8924967447916666,libero_goal_t5_ep8,0.13179472876779444,0.17114765961232642,0.9038385541222064,0.756822138785123,approach,U_hat_mlp,0.8312442778667888,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.703125,0.703125
0.5096842447916666,libero_goal_t5_ep8,,,0.6159114461305677,-0.009994094841770022,approach,B0_random,-0.022569523918516823,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.203125,0.203125
0.5004069010416666,libero_goal_t5_ep8,,,0.613316286232121,-0.025177800565905774,approach,B0x_token_index,-0.0875751029983978,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.140625,0.140625
0.8695475260416666,libero_goal_t5_ep8,,,0.883986350099524,0.6721739079296105,approach,B1_pred_norm_neg,0.6860494392309453,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.703125,0.703125
0.8983561197916666,libero_goal_t5_ep8,,,0.8605161063245443,0.6531740806540347,approach,B2_change_norm,0.8313673037308309,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.65625,0.65625
0.8990885416666666,libero_goal_t5_ep8,,,0.8610938391916513,0.5681492940170149,approach,B3_cos_dist,0.8326025692378118,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.65625,0.65625
0.9017740885416666,libero_goal_t5_ep8,,,0.8618421910828449,0.7453535186662906,approach,B4_linear_stats,0.8524748226138704,testB2,libero_goal_t05_ep008_s0040_approach,libero_goal,5,0.640625,0.640625
0.9672037760416666,libero_goal_t5_ep9,0.19174295566620592,0.2814858969442724,0.8864423175408458,0.7983891566691089,approach,U_hat_mlp,0.8995458056763561,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.84375,0.84375
0.4442545572916667,libero_goal_t5_ep9,,,0.4341375289070025,-0.09043480990913194,approach,B0_random,-0.04061355573357748,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.1875,0.1875
0.3463541666666667,libero_goal_t5_ep9,,,0.36400147405579386,-0.2088566807825354,approach,B0x_token_index,-0.20961604486152438,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.03125,0.03125
0.9368489583333334,libero_goal_t5_ep9,,,0.9051062913265331,0.7975766896752519,approach,B1_pred_norm_neg,0.7107132639047837,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.8125,0.8125
0.9996744791666666,libero_goal_t5_ep9,,,0.9979228102765793,0.995440734798822,approach,B2_change_norm,0.9950503547722591,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.984375,0.984375
0.999755859375,libero_goal_t5_ep9,,,0.9986283240933754,0.9630341846817759,approach,B3_cos_dist,0.9950646601052873,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.984375,0.984375
0.9937337239583334,libero_goal_t5_ep9,,,0.896333784668304,0.8769495420477356,approach,B4_linear_stats,0.9782616159304188,testB2,libero_goal_t05_ep009_s0120_approach,libero_goal,5,0.9375,0.9375
