state_id,split,phase,suite,task_id,episode,predictor,spearman,pearson,top64_recall,top64_precision,ndcg64,auroc_top_quartile
libero_object_t03_ep001_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep1,B2_change_norm,0.9576433394369421,0.8074042291308584,0.921875,0.921875,0.9084497786745654,0.98486328125
libero_object_t03_ep001_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep1,B3_cos_dist,0.9577348935683223,0.6697811768617927,0.921875,0.921875,0.9084128956306671,0.985107421875
libero_object_t03_ep001_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep1,B4_linear_stats,0.9625,0.8915160818472739,0.90625,0.90625,0.9072771119439702,0.988037109375
libero_object_t03_ep001_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep1,B0_random,0.08153610666056306,0.07299543975332377,0.3125,0.3125,0.5739498149840149,0.5655924479166666
libero_object_t03_ep001_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep1,B0x_token_index,-0.35614271000228886,-0.3262120494910721,0.0,0.0,0.4683036981700172,0.24226888020833334
libero_object_t03_ep001_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep1,B1_pred_norm_neg,0.7321283474479285,0.802616279379614,0.78125,0.78125,0.9296917314448429,0.953857421875
libero_object_t03_ep001_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep1,B2_change_norm,0.9256244277866789,0.7857548879911391,0.859375,0.859375,0.8859359558841994,0.974609375
libero_object_t03_ep001_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep1,B3_cos_dist,0.926061455710689,0.6943502097307862,0.875,0.875,0.8869028683909802,0.97509765625
libero_object_t03_ep001_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep1,B4_linear_stats,0.9157430189974822,0.8260831847675718,0.859375,0.859375,0.8861040002608278,0.952880859375
libero_object_t03_ep002_s0016_approach,train,approach,libero_object,3,libero_object_t3_ep2,B0_random,-0.02914210917830167,-0.07246890000208996,0.296875,0.296875,0.5387590676570473,0.5279947916666666
libero_object_t03_ep002_s0016_approach,train,approach,libero_object,3,libero_object_t3_ep2,B0x_token_index,-0.40125529297322043,-0.44538259641838424,0.09375,0.09375,0.4699325295030354,0.23136393229166666
libero_object_t03_ep002_s0016_approach,train,approach,libero_object,3,libero_object_t3_ep2,B1_pred_norm_neg,0.6135893511100938,0.74609396960379,0.625,0.625,0.85782714784602,0.8621419270833334
libero_object_t03_ep002_s0016_approach,train,approach,libero_object,3,libero_object_t3_ep2,B2_change_norm,0.9413123712520027,0.7260952783745124,0.859375,0.859375,0.8730504702343757,0.9737955729166666
libero_object_t03_ep002_s0016_approach,train,approach,libero_object,3,libero_object_t3_ep2,B3_cos_dist,0.9415126459143969,0.5786467107907451,0.859375,0.859375,0.8732917153446614,0.9739583333333334
libero_object_t03_ep002_s0016_approach,train,approach,libero_object,3,libero_object_t3_ep2,B4_linear_stats,0.9301949816891737,0.8556922692100978,0.84375,0.84375,0.9045283161814981,0.95849609375
libero_object_t03_ep002_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep2,B0_random,-0.08211475738155184,-0.11825506972503978,0.171875,0.171875,0.5417420786434325,0.4336751302083333
libero_object_t03_ep002_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep2,B0x_token_index,-0.2453421835660334,-0.24421872261230296,0.046875,0.046875,0.5501199804458683,0.2798665364583333
libero_object_t03_ep002_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep2,B1_pred_norm_neg,0.6464901865415427,0.7284852171856814,0.71875,0.71875,0.8827357225073728,0.9169921875
libero_object_t03_ep002_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep2,B2_change_norm,0.9267974650949874,0.8192427819738494,0.84375,0.84375,0.9053543425353353,0.964111328125
libero_object_t03_ep002_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep2,B3_cos_dist,0.9271472304875258,0.6954860412664225,0.84375,0.84375,0.9066157727122504,0.9646809895833334
libero_object_t03_ep002_s0040_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep2,B4_linear_stats,0.9313723105973907,0.8817296027135928,0.84375,0.84375,0.9364373979931679,0.967529296875
libero_object_t03_ep002_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep2,B0_random,-0.050934138246738384,-0.06153852735628825,0.21875,0.21875,0.5614497871515761,0.4583333333333333
libero_object_t03_ep002_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep2,B0x_token_index,-0.27245365072098876,-0.28790173951971715,0.0625,0.0625,0.5267901317026841,0.2684733072916667
libero_object_t03_ep002_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep2,B1_pred_norm_neg,0.7225630865186542,0.7810951142973773,0.71875,0.71875,0.9220579745334624,0.9202473958333334
libero_object_t03_ep002_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep2,B2_change_norm,0.9159468699931335,0.6939799159117707,0.765625,0.765625,0.849443659673291,0.9288736979166666
libero_object_t03_ep002_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep2,B3_cos_dist,0.9164117933165484,0.5600375734276415,0.765625,0.765625,0.8498113839939219,0.9296061197916666
libero_object_t03_ep002_s0064_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep2,B4_linear_stats,0.9260171091783017,0.8618469096737825,0.796875,0.796875,0.9371722100489022,0.955322265625
libero_object_t03_ep003_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep3,B0_random,0.03053258754863813,0.03339289340403925,0.21875,0.21875,0.5402219771842389,0.498779296875
libero_object_t03_ep003_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep3,B0x_token_index,-0.3822921435111009,-0.3891096438968176,0.09375,0.09375,0.4948678877733219,0.24796549479166666
libero_object_t03_ep003_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep3,B1_pred_norm_neg,0.6810211146715496,0.7436896138187263,0.703125,0.703125,0.8639349141320525,0.9086100260416666
libero_object_t03_ep003_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep3,B2_change_norm,0.9547450789654384,0.815538456482739,0.890625,0.890625,0.8940431416544568,0.9845377604166666
libero_object_t03_ep003_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep3,B3_cos_dist,0.9547872796978714,0.6894406690556781,0.890625,0.890625,0.8941022380639131,0.9844563802083334
libero_object_t03_ep003_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep3,B4_linear_stats,0.9534075303273061,0.8788550013344211,0.859375,0.859375,0.9036470219211896,0.978271484375
libero_object_t03_ep003_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep3,B0_random,0.009028095674067291,-0.000261209472129422,0.1875,0.1875,0.4826997999665906,0.491943359375
libero_object_t03_ep003_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep3,B0x_token_index,-0.30709687571526667,-0.3127415842199609,0.046875,0.046875,0.44522752921750414,0.2808430989583333
libero_object_t03_ep003_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep3,B1_pred_norm_neg,0.6842798695353628,0.8155290398449759,0.75,0.75,0.8991970366921828,0.9346516927083334
libero_object_t03_ep003_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep3,B2_change_norm,0.971085345616846,0.8107253003608978,0.90625,0.90625,0.9076537455504822,0.9793294270833334
libero_object_t03_ep003_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep3,B3_cos_dist,0.9712512874799726,0.6543259271202673,0.90625,0.90625,0.9078799686349472,0.9794921875
libero_object_t03_ep003_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep3,B4_linear_stats,0.9744842927443351,0.907169274889184,0.90625,0.90625,0.9279479382605971,0.9830729166666666
libero_object_t03_ep003_s0080_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep3,B0_random,0.08372696841382467,0.032073152319566894,0.21875,0.21875,0.5318570997873735,0.480712890625
libero_object_t03_ep003_s0080_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep3,B0x_token_index,-0.30200846875715265,-0.36281033961527304,0.0625,0.0625,0.45996870926947403,0.2566731770833333
libero_object_t03_ep003_s0080_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep3,B1_pred_norm_neg,0.6867475394827192,0.8064817228942859,0.734375,0.734375,0.91017121580936,0.9220377604166666
libero_object_t03_ep003_s0080_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep3,B2_change_norm,0.9114328221560998,0.7315569683664542,0.765625,0.765625,0.8246209643753588,0.9315592447916666
libero_object_t03_ep003_s0080_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep3,B3_cos_dist,0.9118619821469444,0.6040784527595802,0.765625,0.765625,0.8283519789044722,0.9320475260416666
libero_object_t03_ep003_s0080_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep3,B4_linear_stats,0.9325145914396887,0.8845609786484694,0.796875,0.796875,0.9168285159452819,0.960205078125
libero_object_t03_ep004_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep4,B0_random,0.019883697642481116,0.07114424207356715,0.28125,0.28125,0.5678795419512467,0.5096028645833334
libero_object_t03_ep004_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep4,B0x_token_index,-0.40487740329594873,-0.398974258372199,0.109375,0.109375,0.4395687265655032,0.23567708333333334
libero_object_t03_ep004_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep4,B1_pred_norm_neg,0.6689474135957885,0.7909402702379723,0.671875,0.671875,0.8764988956411045,0.9010416666666666
libero_object_t03_ep004_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep4,B2_change_norm,0.9499856946669718,0.8554858662225213,0.859375,0.859375,0.9288130505345444,0.978515625
libero_object_t03_ep004_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep4,B3_cos_dist,0.9502267395284962,0.7927157039046493,0.859375,0.859375,0.9302191690930458,0.9785970052083334
libero_object_t03_ep004_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep4,B4_linear_stats,0.9487790398260472,0.8190377395233482,0.84375,0.84375,0.8686573287817992,0.9769694010416666
libero_object_t03_ep004_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep4,B0_random,0.013803931105516136,0.05753468336415835,0.296875,0.296875,0.6737306033825163,0.50146484375
libero_object_t03_ep004_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep4,B0x_token_index,-0.19003848134584572,-0.21482398874050732,0.109375,0.109375,0.589764217800459,0.343505859375
libero_object_t03_ep004_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep4,B1_pred_norm_neg,0.661094501029984,0.749313290050094,0.640625,0.640625,0.8963026962156189,0.9014485677083334
libero_object_t03_ep004_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep4,B2_change_norm,0.9347691119249256,0.7772447896370278,0.8125,0.8125,0.8989093660709849,0.95654296875
libero_object_t03_ep004_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep4,B3_cos_dist,0.9349872682536049,0.5917695580205807,0.8125,0.8125,0.8990294505642604,0.956787109375
libero_object_t03_ep004_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep4,B4_linear_stats,0.9390671492332342,0.8931588872277949,0.8125,0.8125,0.9297217209391293,0.9606119791666666
libero_object_t03_ep004_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep4,B0_random,0.111171749828336,0.061241247723870365,0.25,0.25,0.5137064914185483,0.5332845052083334
libero_object_t03_ep004_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep4,B0x_token_index,-0.3300040054932479,-0.3641524408030992,0.0,0.0,0.4234519614161261,0.21036783854166666
libero_object_t03_ep004_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep4,B1_pred_norm_neg,0.6637316891737239,0.775505608620914,0.765625,0.765625,0.8765545196928729,0.934814453125
libero_object_t03_ep004_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep4,B2_change_norm,0.9359349965667201,0.7081251205082623,0.828125,0.828125,0.8145362506146514,0.9479166666666666
libero_object_t03_ep004_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep4,B3_cos_dist,0.9364693007553215,0.591117177194407,0.828125,0.828125,0.8147280055310135,0.9485677083333334
libero_object_t03_ep004_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep4,B4_linear_stats,0.947533045319295,0.8406144962572802,0.84375,0.84375,0.8754832576772342,0.9718424479166666
libero_object_t03_ep005_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep5,B0_random,0.004183594644083314,0.021246246054621578,0.3125,0.3125,0.6133932901259327,0.5379231770833334
libero_object_t03_ep005_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep5,B0x_token_index,-0.4042737182421607,-0.4171644436002282,0.0625,0.0625,0.5459678801493194,0.22696940104166666
libero_object_t03_ep005_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep5,B1_pred_norm_neg,0.7136322671091783,0.7558100529953247,0.75,0.75,0.911444948838874,0.922607421875
libero_object_t03_ep005_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep5,B2_change_norm,0.9587777523460747,0.7985971025741665,0.890625,0.890625,0.9288956719372328,0.9879557291666666
libero_object_t03_ep005_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep5,B3_cos_dist,0.9586969272144655,0.6782396544957542,0.890625,0.890625,0.9288824498676415,0.9879557291666666
libero_object_t03_ep005_s0024_approach,train,approach,libero_object,3,libero_object_t3_ep5,B4_linear_stats,0.9504205767910276,0.89689692633126,0.859375,0.859375,0.9337691010851337,0.976806640625
libero_object_t03_ep005_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep5,B0_random,-0.007609006637674525,0.014845852754610197,0.1875,0.1875,0.549260385265434,0.5384114583333334
libero_object_t03_ep005_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep5,B0x_token_index,-0.2761658846417945,-0.2651009224255102,0.0625,0.0625,0.5443021879940497,0.30908203125
libero_object_t03_ep005_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep5,B1_pred_norm_neg,0.6942213607232777,0.7557266775052636,0.6875,0.6875,0.9118536574977523,0.9178873697916666
libero_object_t03_ep005_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep5,B2_change_norm,0.9671370737010757,0.8915150026078121,0.875,0.875,0.9312620416231335,0.9759928385416666
libero_object_t03_ep005_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep5,B3_cos_dist,0.9670812829022659,0.7841767187102839,0.875,0.875,0.9312891057913697,0.9757486979166666
libero_object_t03_ep005_s0048_pre_grasp,train,pre_grasp,libero_object,3,libero_object_t3_ep5,B4_linear_stats,0.9640993362325475,0.9306350863914744,0.875,0.875,0.9545449065006366,0.9762369791666666
libero_object_t03_ep005_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep5,B0_random,-0.05541385328450446,-0.049051335542160734,0.234375,0.234375,0.5037657963118468,0.471923828125
libero_object_t03_ep005_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep5,B0x_token_index,-0.2458006694895857,-0.27784847749717434,0.078125,0.078125,0.4868892358800425,0.265869140625
libero_object_t03_ep005_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep5,B1_pred_norm_neg,0.6851496337834745,0.7604276463448947,0.703125,0.703125,0.8992952117103663,0.9232584635416666
libero_object_t03_ep005_s0072_manipulation,train,manipulation,libero_object,3,libero_object_t3_ep5,B2_change_norm,0.9097877088578622,0.7360299522839442,0.796875,0.796875,0.8803135841802349,0.9384765625
